record_id,date,area,metric_type,supplier_name,net_value,units,target,status,lead_time,source_system
AST-0000571,2024-08-22,Ventas,order,Grupo Terra,4280.95,2,3325.43,pending,5,CRM
AST-0000572,2024-08-04,Ventas,order,Mercado Sur,6877.11,16,3325.43,on_time,7,CRM
AST-0000573,2024-08-09,Ventas,sales,Casa Nativa,12433.56,11,13730.82,on_time,2,CRM
AST-0000574,2024-08-27,Ventas,margin_input,Cuenta Andina,7659.39,8,7723.58,approved,6,CRM
AST-0000575,2024-08-10,Ventas,order,Grupo Terra,2112.74,8,3325.43,late,3,CRM
AST-0000576,2024-08-14,Ventas,sales,Mercado Sur,11712.95,27,13730.82,on_time,5,CRM
AST-0000577,2024-08-04,Ventas,order,Grupo Terra,4820.96,1,3325.43,on_time,1,CRM
AST-0000578,2024-08-05,Ventas,margin_input,Cuenta Andina,15486.12,18,7723.58,approved,2,CRM
AST-0000579,2024-08-22,Ventas,order,Grupo Terra,3891.61,6,3325.43,on_time,6,CRM
AST-0000580,2024-08-03,Ventas,sales,Casa Nativa,14808.58,9,13730.82,on_time,4,CRM
AST-0000581,2024-08-08,Ventas,sales,Grupo Terra,27998.78,1,13730.82,approved,8,CRM
AST-0000582,2024-08-25,Ventas,sales,Cuenta Andina,8021.97,1,13730.82,approved,5,CRM
AST-0000583,2024-08-06,Ventas,sales,,13455.72,1,13730.82,on_time,6,CRM
AST-0000584,2024-08-25,Ventas,order,Mercado Sur,2122.66,8,3325.43,on_time,10,CRM
AST-0000585,2024-08-06,Ventas,sales,Mercado Sur,8911.62,1,13730.82,on_time,5,CRM
AST-0000586,2024-08-18,Ventas,sales,Cuenta Andina,23447.9,13,13730.82,approved,8,CRM
AST-0000587,2024-08-08,Ventas,sales,Cuenta Andina,20162.31,2,13730.82,pending,5,CRM
AST-0000588,2024-08-11,Ventas,sales,Casa Nativa,12409.62,27,13730.82,on_time,6,CRM
AST-0000589,2024-08-13,Ventas,sales,Cliente Boreal,7221.9,16,13730.82,on_time,7,CRM
AST-0000590,2024-08-14,Ventas,order,Grupo Terra,3727.94,12,3325.43,on_time,6,CRM
AST-0000591,2024-08-12,Ventas,sales,Cuenta Andina,21118.5,10,13730.82,approved,2,CRM
AST-0000592,2024-08-04,Ventas,order,Cliente Boreal,3193.42,7,3325.43,pending,8,CRM
AST-0000593,2024-08-25,Ventas,sales,Grupo Terra,22967.01,8,13730.82,on_time,8,CRM
AST-0000594,2024-08-05,Ventas,margin_input,Cuenta Andina,5750.57,1,7723.58,pending,9,CRM
AST-0000595,2024-08-18,Ventas,sales,Cliente Boreal,6584.75,1,13730.82,late,8,CRM
AST-0000596,2024-08-17,Ventas,sales,Cuenta Andina,10593.09,3,13730.82,approved,6,CRM
AST-0000597,2024-08-16,Ventas,sales,Mercado Sur,11669.93,7,13730.82,on_time,3,CRM
AST-0000598,2024-08-12,Ventas,sales,Cliente Boreal,11219.64,1,13730.82,approved,6,CRM
AST-0000599,2024-08-18,Ventas,sales,Cuenta Andina,16586.62,1,13730.82,pending,3,CRM
AST-0000600,2024-08-04,Ventas,sales,Casa Nativa,14464.56,21,13730.82,on_time,6,CRM
AST-0000601,2024-08-09,Ventas,margin_input,Mercado Sur,9502.35,1,7723.58,on_time,11,CRM
AST-0000602,2024-08-22,Ventas,sales,Cliente Boreal,14109.89,1,13730.82,on_time,5,CRM
AST-0000603,2024-08-21,Ventas,order,Grupo Terra,4390.32,18,3325.43,late,10,CRM
AST-0000604,2024-08-10,Ventas,order,Grupo Terra,3646.54,10,3325.43,on_time,10,CRM
AST-0000605,2024-08-26,Ventas,margin_input,Casa Nativa,15112.64,7,7723.58,on_time,4,CRM
AST-0000606,2024-08-05,Ventas,sales,Cliente Boreal,12747.11,15,13730.82,on_time,6,CRM
AST-0000607,2024-08-08,Ventas,order,Cliente Boreal,1998.87,1,3325.43,on_time,2,CRM
AST-0000608,2024-08-13,Ventas,sales,Cliente Boreal,13456.66,3,13730.82,late,10,CRM
AST-0000609,2024-08-21,Ventas,sales,Mercado Sur,13990.39,8,13730.82,on_time,5,CRM
AST-0000610,2024-08-22,Ventas,order,Cuenta Andina,5412.87,12,3325.43,on_time,4,CRM
AST-0000611,2024-08-25,Ventas,margin_input,Grupo Terra,7556.42,5,7723.58,approved,8,CRM
AST-0000612,2024-08-01,Ventas,order,Mercado Sur,2079.59,8,3325.43,approved,9,CRM
AST-0000613,2024-08-26,Ventas,sales,Grupo Terra,9820.99,1,13730.82,pending,6,CRM
AST-0000614,2024-08-26,Ventas,sales,Grupo Terra,21548.7,19,13730.82,approved,5,CRM
AST-0000615,2024-08-28,Ventas,order,Casa Nativa,4978.18,1,3325.43,approved,2,CRM
AST-0000616,2024-08-16,Ventas,order,Cuenta Andina,2461.76,1,3325.43,on_time,8,CRM
AST-0000617,2024-08-03,Ventas,margin_input,Casa Nativa,15750.64,6,7723.58,on_time,7,CRM
AST-0000618,2024-08-01,Ventas,margin_input,Mercado Sur,7827.14,4,7723.58,pending,8,CRM
AST-0000619,2024-08-18,Ventas,order,Cuenta Andina,2731.88,4,3325.43,on_time,12,CRM
AST-0000620,2024-08-13,Ventas,sales,Grupo Terra,16846.8,1,13730.82,late,3,CRM
AST-0000621,2024-08-06,Ventas,margin_input,Casa Nativa,9474.95,1,7723.58,pending,9,CRM
AST-0000622,2024-08-14,Ventas,sales,Cliente Boreal,10314.97,11,13730.82,on_time,11,CRM
AST-0000623,2024-08-26,Ventas,order,Casa Nativa,2509.03,5,3325.43,approved,9,CRM
AST-0000624,2024-08-11,Ventas,sales,Grupo Terra,14414.63,4,13730.82,pending,9,CRM
AST-0000625,2024-08-27,Ventas,order,Mercado Sur,2617.3,8,3325.43,pending,5,CRM
AST-0000626,2024-08-28,Ventas,order,Cliente Boreal,2542.34,14,3325.43,approved,5,CRM
AST-0000627,2024-08-25,Ventas,sales,Mercado Sur,13836.52,17,13730.82,on_time,3,CRM
AST-0000628,2024-08-14,Ventas,sales,Cliente Boreal,28125.02,11,13730.82,on_time,5,CRM
AST-0000629,2024-08-08,Ventas,order,Grupo Terra,4553.17,1,3325.43,approved,7,CRM
AST-0000630,2024-08-27,Ventas,order,Casa Nativa,2758.8,12,3325.43,on_time,5,CRM
AST-0000631,2024-08-02,Ventas,sales,Grupo Terra,16594.09,1,13730.82,on_time,7,CRM
AST-0000632,2024-08-15,Ventas,margin_input,Mercado Sur,9441.92,7,7723.58,on_time,5,CRM
AST-0000633,2024-08-21,Ventas,sales,Cliente Boreal,6696.73,7,13730.82,approved,6,CRM
AST-0000634,2024-08-14,Ventas,sales,Cuenta Andina,17591.41,12,13730.82,on_time,1,CRM
AST-0000635,2024-08-26,Ventas,order,Grupo Terra,2891.05,10,3325.43,approved,3,CRM
AST-0000636,2024-08-18,Ventas,sales,Cliente Boreal,13072.26,2,13730.82,on_time,7,CRM
AST-0000637,2024-08-18,Ventas,sales,Cuenta Andina,8425.59,1,13730.82,on_time,6,CRM
AST-0000638,2024-08-13,Ventas,margin_input,Grupo Terra,9883.83,1,7723.58,approved,2,CRM
AST-0000639,2024-08-05,Ventas,sales,Mercado Sur,20300.66,5,13730.82,on_time,10,CRM
AST-0000640,2024-08-11,Ventas,order,Cuenta Andina,2449.8,15,3325.43,approved,6,CRM
AST-0000641,2024-08-09,Ventas,sales,Casa Nativa,12664.89,11,13730.82,on_time,2,CRM
AST-0000642,2024-08-19,Ventas,sales,Grupo Terra,8610.81,17,13730.82,approved,5,CRM
AST-0000643,2024-08-20,Ventas,sales,Grupo Terra,19813.97,12,13730.82,on_time,10,CRM
AST-0000644,2024-08-01,Ventas,margin_input,Cliente Boreal,10791.44,7,7723.58,approved,2,CRM
AST-0000645,2024-08-11,Ventas,sales,Casa Nativa,26200.63,11,13730.82,on_time,3,CRM
AST-0000646,2024-08-11,Ventas,sales,Cliente Boreal,20221.82,1,13730.82,approved,9,CRM
AST-0000647,2024-08-03,Ventas,margin_input,Grupo Terra,8405.76,12,7723.58,approved,5,CRM
AST-0000648,2024-08-06,Ventas,order,Grupo Terra,3478.06,6,3325.43,on_time,5,CRM
AST-0000649,2024-08-06,Ventas,sales,Casa Nativa,7548.16,14,13730.82,approved,6,CRM
AST-0000650,2024-08-23,Ventas,order,Grupo Terra,3517.93,13,3325.43,on_time,8,CRM
AST-0000651,2024-08-10,Ventas,sales,Casa Nativa,16807.27,11,13730.82,on_time,11,CRM
AST-0000652,2024-08-24,Ventas,margin_input,Cliente Boreal,15655.88,6,7723.58,on_time,6,CRM
AST-0000653,2024-08-08,Ventas,order,Casa Nativa,3731.42,1,3325.43,on_time,7,CRM
AST-0000654,2024-08-06,Ventas,order,Casa Nativa,3726.87,5,3325.43,on_time,7,CRM
AST-0000655,2024-08-22,Ventas,margin_input,Casa Nativa,5176.42,15,7723.58,late,2,CRM
AST-0000656,2024-08-03,Ventas,sales,Casa Nativa,7551.69,7,13730.82,approved,12,CRM
AST-0000657,2024-08-28,Ventas,margin_input,Casa Nativa,6951.37,7,7723.58,on_time,8,CRM
AST-0000658,2024-08-26,Ventas,margin_input,Cliente Boreal,4633.46,10,7723.58,approved,3,CRM
AST-0000659,2024-08-08,Ventas,sales,Cliente Boreal,12791.18,17,13730.82,late,6,CRM
AST-0000660,2024-08-11,Ventas,sales,Cuenta Andina,5237.77,6,13730.82,on_time,4,CRM
AST-0000661,2024-08-19,Ventas,order,Mercado Sur,2865.38,14,3325.43,on_time,7,CRM
AST-0000662,2024-08-03,Ventas,sales,Cliente Boreal,12541.0,8,13730.82,approved,8,CRM
AST-0000663,2024-08-24,Ventas,order,Cliente Boreal,2893.34,5,3325.43,on_time,3,CRM
AST-0000664,2024-08-19,Ventas,sales,Cliente Boreal,49182.98,18,13730.82,approved,8,CRM
AST-0000665,2024-08-03,Ventas,sales,Cuenta Andina,12053.02,1,13730.82,late,6,CRM
