record_id,posting_date,area,kpi_type,vendor,value,quantity,budget,status,cycle_days,origin
AST-0000856,2024-09-05,Compras,supplier,Litoral Office,3816.28,1,4408.63,on_time,7,PROCURE
AST-0000857,2024-09-04,Compras,order,Norte Industrial,4960.42,5,3504.29,on_time,8,PROCURE
AST-0000858,2024-09-27,Compras,supplier,Pampa Logistics,2176.64,8,4408.63,approved,4,PROCURE
AST-0000859,2024-09-10,Compras,order,Orion Tech,3086.32,22,3504.29,late,10,PROCURE
AST-0000860,2024-09-27,Compras,supplier,Orion Tech,5657.46,13,4408.63,on_time,10,PROCURE
AST-0000861,2024-09-25,Compras,order,Orion Tech,4131.38,9,3504.29,on_time,7,PROCURE
AST-0000862,2024-09-24,Compras,order,Pampa Logistics,1695.13,2,3504.29,late,7,PROCURE
AST-0000863,2024-09-01,Compras,expense,Litoral Office,2697.97,18,7008.59,on_time,7,PROCURE
AST-0000864,2024-09-06,Compras,expense,Orion Tech,4786.15,6,7008.59,on_time,4,PROCURE
AST-0000865,2024-09-22,Compras,order,Litoral Office,3189.58,8,3504.29,pending,5,PROCURE
AST-0000866,2024-09-22,Compras,expense,Atlas Supply,8216.03,13,7008.59,approved,5,PROCURE
AST-0000867,2024-09-22,Compras,expense,Pampa Logistics,5160.83,13,7008.59,late,8,PROCURE
AST-0000868,2024-09-02,Compras,order,Pampa Logistics,1767.41,26,3504.29,approved,1,PROCURE
AST-0000869,2024-09-24,Compras,supplier,Atlas Supply,9716.41,4,4408.63,on_time,5,PROCURE
AST-0000870,2024-09-13,Compras,supplier,Pampa Logistics,5572.51,3,4408.63,approved,9,PROCURE
AST-0000871,2024-09-09,Compras,expense,Norte Industrial,7568.63,13,7008.59,pending,4,PROCURE
AST-0000872,2024-09-26,Compras,expense,Pampa Logistics,4631.42,1,7008.59,on_time,8,PROCURE
AST-0000873,2024-09-20,Compras,supplier,Orion Tech,6816.2,8,4408.63,on_time,8,PROCURE
AST-0000874,2024-09-17,Compras,expense,Norte Industrial,8062.94,8,7008.59,on_time,6,PROCURE
AST-0000875,2024-09-21,Compras,expense,Norte Industrial,9626.85,1,7008.59,on_time,4,PROCURE
AST-0000876,2024-09-21,Compras,supplier,Norte Industrial,3910.01,6,4408.63,on_time,6,PROCURE
AST-0000877,2024-09-13,Compras,supplier,Orion Tech,5529.0,22,4408.63,on_time,3,PROCURE
AST-0000878,2024-09-17,Compras,expense,Atlas Supply,8515.92,1,7008.59,on_time,1,PROCURE
AST-0000879,2024-09-14,Compras,expense,Litoral Office,7511.89,4,7008.59,on_time,8,PROCURE
AST-0000880,2024-09-14,Compras,order,Litoral Office,7930.77,10,3504.29,on_time,9,PROCURE
AST-0000881,2024-09-28,Compras,order,Pampa Logistics,2488.09,14,3504.29,approved,4,PROCURE
AST-0000882,2024-09-19,Compras,order,Atlas Supply,5358.08,17,3504.29,on_time,4,PROCURE
AST-0000883,2024-09-04,Compras,supplier,Atlas Supply,4219.68,5,4408.63,approved,2,PROCURE
AST-0000884,2024-09-13,Compras,expense,Orion Tech,13585.61,6,7008.59,approved,8,PROCURE
AST-0000885,2024-09-10,Compras,expense,Orion Tech,4734.49,14,7008.59,on_time,6,PROCURE
AST-0000886,2024-09-07,Compras,supplier,Pampa Logistics,3120.16,11,4408.63,pending,10,PROCURE
AST-0000887,2024-09-20,Compras,order,Atlas Supply,2569.51,3,3504.29,on_time,5,PROCURE
AST-0000888,2024-09-09,Compras,expense,Pampa Logistics,3700.81,15,7008.59,on_time,4,PROCURE
AST-0000889,2024-09-07,Compras,expense,Norte Industrial,4705.7,9,7008.59,on_time,10,PROCURE
AST-0000890,2024-09-07,Compras,supplier,Orion Tech,4358.02,17,4408.63,on_time,9,PROCURE
AST-0000891,2024-09-21,Compras,expense,Litoral Office,6171.56,10,7008.59,on_time,6,PROCURE
AST-0000892,2024-09-02,Compras,expense,Litoral Office,13442.86,13,7008.59,on_time,2,PROCURE
