record_id;date;area;metric_type;supplier_name;net_value;units;target;status;lead_time;source_system
AST-0001616;2024-11-05;Compras;expense;Pampa Logistics;5920.62;5;7172.85;on_time;5;PROCURE
AST-0001617;2024-11-25;Compras;expense;Atlas Supply;11909.5;7;7172.85;approved;9;PROCURE
AST-0001618;2024-11-11;Compras;supplier;Pampa Logistics;3074.82;13;4511.95;late;9;PROCURE
AST-0001619;2024-11-28;Compras;supplier;Pampa Logistics;3095.04;1;4511.95;on_time;6;PROCURE
AST-0001620;2024-11-19;Compras;expense;Litoral Office;6912.84;1;7172.85;on_time;3;PROCURE
AST-0001621;2024-11-22;Compras;supplier;Orion Tech;2273.68;1;4511.95;late;7;PROCURE
AST-0001622;2024-11-20;Compras;expense;Orion Tech;9734.47;1;7172.85;on_time;9;PROCURE
AST-0001623;2024-11-27;Compras;expense;Orion Tech;3938.42;3;7172.85;late;12;PROCURE
AST-0001624;2024-11-02;Compras;expense;Litoral Office;7417.45;14;7172.85;on_time;6;PROCURE
AST-0001625;2024-11-06;Compras;supplier;Orion Tech;3780.09;10;4511.95;on_time;8;PROCURE
AST-0001626;2024-11-18;Compras;order;Atlas Supply;3211.84;17;3586.43;late;7;PROCURE
AST-0001627;2024-11-27;Compras;supplier;Orion Tech;4969.35;12;4511.95;approved;6;PROCURE
AST-0001628;2024-11-19;Compras;supplier;Norte Industrial;3530.14;7;4511.95;approved;6;PROCURE
AST-0001629;2024-11-07;Compras;order;Norte Industrial;2155.77;14;3586.43;approved;5;PROCURE
AST-0001630;2024-11-07;Compras;order;Litoral Office;10599.1;6;3586.43;on_time;1;PROCURE
AST-0001631;2024-11-11;Compras;supplier;Pampa Logistics;5699.66;1;4511.95;on_time;5;PROCURE
AST-0001632;2024-11-11;Compras;supplier;Orion Tech;5171.75;6;4511.95;approved;6;PROCURE
AST-0001633;2024-11-19;Compras;order;Litoral Office;4495.52;9;3586.43;approved;11;PROCURE
AST-0001634;2024-11-25;Compras;expense;Orion Tech;12464.76;15;7172.85;pending;2;PROCURE
AST-0001635;2024-11-14;Compras;expense;Litoral Office;5412.33;4;7172.85;on_time;3;PROCURE
AST-0001636;2024-11-08;Compras;supplier;Litoral Office;5840.08;13;4511.95;on_time;7;PROCURE
AST-0001637;2024-11-03;Compras;order;Atlas Supply;4837.73;3;3586.43;on_time;6;PROCURE
AST-0001638;2024-11-11;Compras;expense;Atlas Supply;8356.76;1;7172.85;on_time;7;PROCURE
AST-0001639;2024-11-23;Compras;expense;Pampa Logistics;14104.99;8;7172.85;on_time;2;PROCURE
AST-0001640;2024-11-21;Compras;expense;Norte Industrial;5767.32;1;7172.85;late;8;PROCURE
AST-0001641;2024-11-23;Compras;expense;Atlas Supply;16926.72;12;7172.85;on_time;7;PROCURE
AST-0001642;2024-11-08;Compras;supplier;Pampa Logistics;7370.09;18;4511.95;on_time;9;PROCURE
AST-0001643;2024-11-24;Compras;expense;Litoral Office;8947.46;15;7172.85;on_time;5;PROCURE
AST-0001644;2024-11-14;Compras;order;Pampa Logistics;2260.09;17;3586.43;on_time;5;PROCURE
AST-0001645;2024-11-11;Compras;expense;Pampa Logistics;5906.44;15;7172.85;pending;4;PROCURE
AST-0001646;2024-11-27;Compras;expense;Norte Industrial;8718.61;15;7172.85;on_time;7;PROCURE
AST-0001647;2024-11-06;Compras;expense;Norte Industrial;10647.6;20;7172.85;on_time;6;PROCURE
AST-0001648;2024-11-15;Compras;order;Atlas Supply;4134.81;4;3586.43;on_time;11;PROCURE
AST-0001649;2024-11-12;Compras;expense;Norte Industrial;5378.82;1;7172.85;on_time;9;PROCURE
AST-0001650;2024-11-15;Compras;expense;Pampa Logistics;3607.85;13;7172.85;on_time;9;PROCURE
AST-0001651;2024-11-09;Compras;expense;Norte Industrial;5902.71;10;7172.85;late;1;PROCURE
AST-0001652;2024-11-23;Compras;expense;Litoral Office;5727.2;24;7172.85;on_time;4;PROCURE
AST-0001653;2024-11-13;Compras;order;Litoral Office;4752.57;4;3586.43;on_time;8;PROCURE
AST-0001654;2024-11-02;Compras;expense;Atlas Supply;8487.09;8;7172.85;approved;7;PROCURE
AST-0001655;2024-11-09;Compras;supplier;Litoral Office;4658.89;7;4511.95;approved;7;PROCURE
AST-0001656;2024-11-11;Compras;expense;Norte Industrial;4824.27;9;7172.85;on_time;7;PROCURE
AST-0001657;2024-11-03;Compras;expense;Pampa Logistics;3272.66;1;7172.85;on_time;8;PROCURE
AST-0001658;2024-11-06;Compras;supplier;Pampa Logistics;10517.56;13;4511.95;approved;4;PROCURE
