record_id;date;area;metric_type;supplier_name;net_value;units;target;status;lead_time;source_system
AST-0001711;2024-11-16;Ventas;margin_input;Cliente Boreal;7982.77;19;8329.76;on_time;5;CRM
AST-0001712;2024-11-09;Ventas;sales;Grupo Terra;17423.74;1;14808.47;on_time;8;CRM
AST-0001713;2024-11-06;Ventas;margin_input;Mercado Sur;12467.48;13;8329.76;on_time;9;CRM
AST-0001714;2024-11-28;Ventas;margin_input;Cliente Boreal;11765.5;12;8329.76;approved;6;CRM
AST-0001715;2024-11-15;Ventas;sales;Cuenta Andina;10293.73;10;14808.47;on_time;7;CRM
AST-0001716;2024-11-18;Ventas;margin_input;Cliente Boreal;4656.78;5;8329.76;on_time;5;CRM
AST-0001717;2024-11-16;Ventas;order;Cuenta Andina;4411.1;22;3586.43;on_time;9;CRM
AST-0001718;2024-11-11;Ventas;sales;Mercado Sur;5376.09;1;14808.47;approved;2;CRM
AST-0001719;2024-11-23;Ventas;order;Cliente Boreal;3811.76;8;3586.43;approved;13;CRM
AST-0001720;2024-11-13;Ventas;sales;Cuenta Andina;8978.42;11;14808.47;on_time;14;CRM
AST-0001721;2024-11-16;Ventas;order;Cuenta Andina;7213.43;14;3586.43;approved;2;CRM
AST-0001722;2024-11-26;Ventas;margin_input;Casa Nativa;7110.38;13;8329.76;on_time;10;CRM
AST-0001723;2024-11-20;Ventas;sales;Grupo Terra;11460.54;12;14808.47;on_time;3;CRM
AST-0001724;2024-11-09;Ventas;order;Grupo Terra;2661.4;1;3586.43;approved;12;CRM
AST-0001725;2024-11-06;Ventas;margin_input;Mercado Sur;7085.86;2;8329.76;approved;1;CRM
AST-0001726;2024-11-10;Ventas;order;Casa Nativa;4822.09;17;3586.43;on_time;7;CRM
AST-0001727;2024-11-02;Ventas;margin_input;Casa Nativa;7828.22;5;8329.76;on_time;11;CRM
AST-0001728;2024-11-11;Ventas;order;Casa Nativa;2981.33;9;3586.43;approved;12;CRM
AST-0001729;2024-11-12;Ventas;sales;Cuenta Andina;13114.84;6;14808.47;pending;7;CRM
AST-0001730;2024-11-06;Ventas;sales;Cliente Boreal;27783.45;21;14808.47;approved;3;CRM
AST-0001731;2024-11-26;Ventas;order;Cliente Boreal;3393.45;23;3586.43;pending;1;CRM
AST-0001732;2024-11-26;Ventas;sales;Casa Nativa;16949.16;7;14808.47;approved;6;CRM
AST-0001733;2024-11-05;Ventas;order;Mercado Sur;2432.5;15;3586.43;approved;5;CRM
AST-0001734;2024-11-18;Ventas;margin_input;Mercado Sur;14352.27;4;8329.76;pending;8;CRM
AST-0001735;2024-11-07;Ventas;margin_input;Casa Nativa;17532.4;1;8329.76;approved;11;CRM
AST-0001736;2024-11-03;Ventas;order;Cuenta Andina;4496.85;11;3586.43;pending;8;CRM
AST-0001737;2024-11-07;Ventas;sales;Mercado Sur;13992.47;6;14808.47;on_time;4;CRM
AST-0001738;2024-11-24;Ventas;sales;Cliente Boreal;33740.45;10;14808.47;on_time;4;CRM
AST-0001739;2024-11-09;Ventas;sales;Grupo Terra;8191.53;6;14808.47;on_time;3;CRM
AST-0001740;2024-11-22;Ventas;order;Cliente Boreal;5530.17;1;3586.43;on_time;6;CRM
AST-0001741;2024-11-22;Ventas;margin_input;Casa Nativa;6302.32;19;8329.76;late;7;CRM
AST-0001742;2024-11-06;Ventas;margin_input;Mercado Sur;9033.4;10;8329.76;approved;6;CRM
AST-0001743;2024-11-01;Ventas;sales;Casa Nativa;22641.39;4;14808.47;on_time;10;CRM
AST-0001744;2024-11-06;Ventas;margin_input;Cuenta Andina;7173.58;19;8329.76;on_time;9;CRM
AST-0001745;2024-11-07;Ventas;margin_input;Cuenta Andina;5968.26;1;8329.76;on_time;3;CRM
AST-0001746;2024-11-23;Ventas;sales;Cliente Boreal;15523.88;8;14808.47;approved;3;CRM
AST-0001747;2024-11-02;Ventas;margin_input;Cliente Boreal;6441.82;1;8329.76;approved;11;CRM
AST-0001748;2024-11-02;Ventas;order;Mercado Sur;2598.95;11;3586.43;on_time;6;CRM
AST-0001749;2024-11-09;Ventas;sales;Cliente Boreal;10353.76;14;14808.47;late;1;CRM
AST-0001750;2024-11-20;Ventas;sales;Cliente Boreal;24592.12;16;14808.47;approved;8;CRM
AST-0001751;2024-11-23;Ventas;margin_input;Mercado Sur;12471.29;14;8329.76;on_time;10;CRM
AST-0001752;2024-11-17;Ventas;order;Grupo Terra;4179.77;13;3586.43;on_time;1;CRM
AST-0001753;2024-11-02;Ventas;sales;Casa Nativa;16662.87;6;14808.47;approved;12;CRM
AST-0001754;2024-11-03;Ventas;order;Mercado Sur;3547.57;8;3586.43;approved;7;CRM
AST-0001755;2024-11-22;Ventas;order;Mercado Sur;4330.82;4;3586.43;approved;4;CRM
AST-0001756;2024-11-18;Ventas;order;Mercado Sur;1345.73;3;3586.43;on_time;5;CRM
AST-0001757;2024-11-10;Ventas;order;Mercado Sur;3923.54;8;3586.43;on_time;7;CRM
AST-0001758;2024-11-08;Ventas;margin_input;Mercado Sur;9187.5;1;8329.76;approved;11;CRM
AST-0001759;2024-11-27;Ventas;sales;Mercado Sur;7982.79;8;14808.47;approved;10;CRM
AST-0001760;2024-11-25;Ventas;sales;Casa Nativa;9175.79;6;14808.47;approved;7;CRM
AST-0001761;2024-11-26;Ventas;sales;Grupo Terra;14161.65;2;14808.47;approved;5;CRM
AST-0001762;2024-11-05;Ventas;sales;Cliente Boreal;16409.44;1;14808.47;on_time;6;CRM
AST-0001763;2024-11-25;Ventas;sales;Cuenta Andina;18708.25;1;14808.47;on_time;9;CRM
AST-0001764;2024-11-26;Ventas;sales;Casa Nativa;22335.45;17;14808.47;on_time;5;CRM
AST-0001765;2024-11-08;Ventas;sales;Casa Nativa;23249.63;7;14808.47;approved;5;CRM
AST-0001766;2024-11-23;Ventas;order;Mercado Sur;2800.47;1;3586.43;approved;7;CRM
AST-0001767;2024-11-19;Ventas;sales;Mercado Sur;7426.14;12;14808.47;on_time;11;CRM
AST-0001768;2024-11-07;Ventas;order;Cliente Boreal;2930.9;1;3586.43;on_time;1;CRM
AST-0001769;2024-11-27;Ventas;margin_input;Cliente Boreal;12960.52;7;8329.76;approved;4;CRM
AST-0001770;2024-11-10;Ventas;sales;Cuenta Andina;4728.79;13;14808.47;approved;9;CRM
AST-0001771;2024-11-19;Ventas;sales;Mercado Sur;13092.54;1;14808.47;on_time;9;CRM
AST-0001772;2024-11-20;Ventas;order;Mercado Sur;3123.37;15;3586.43;on_time;8;CRM
AST-0001773;2024-11-05;Ventas;margin_input;Casa Nativa;11220.36;9;8329.76;late;8;CRM
AST-0001774;2024-11-12;Ventas;sales;Mercado Sur;12130.83;7;14808.47;approved;7;CRM
AST-0001775;2024-11-07;Ventas;order;Casa Nativa;4367.76;12;3586.43;on_time;9;CRM
AST-0001776;2024-11-25;Ventas;sales;Cuenta Andina;19030.64;14;14808.47;on_time;8;CRM
AST-0001777;2024-11-13;Ventas;order;Cuenta Andina;5771.66;8;3586.43;on_time;6;CRM
AST-0001778;2024-11-28;Ventas;sales;Casa Nativa;7651.61;1;14808.47;approved;5;CRM
AST-0001779;2024-11-14;Ventas;sales;Cuenta Andina;23005.36;1;14808.47;on_time;9;CRM
AST-0001780;2024-11-24;Ventas;sales;Cuenta Andina;20776.79;10;14808.47;late;9;CRM
AST-0001781;2024-11-25;Ventas;order;Cliente Boreal;3966.87;4;3586.43;approved;5;CRM
AST-0001782;2024-11-13;Ventas;sales;Mercado Sur;15205.25;10;14808.47;on_time;8;CRM
AST-0001783;2024-11-19;Ventas;order;Mercado Sur;4076.35;11;3586.43;on_time;8;CRM
AST-0001784;2024-11-16;Ventas;margin_input;Cuenta Andina;11960.47;13;8329.76;on_time;11;CRM
AST-0001785;2024-11-18;Ventas;sales;Cliente Boreal;32995.61;6;14808.47;approved;3;CRM
AST-0001786;2024-11-11;Ventas;order;Cuenta Andina;3862.37;1;3586.43;on_time;12;CRM
AST-0001787;2024-11-03;Ventas;margin_input;Cuenta Andina;6696.86;22;8329.76;approved;8;CRM
AST-0001788;2024-11-12;Ventas;order;Mercado Sur;5285.54;23;3586.43;on_time;4;CRM
AST-0001789;2024-11-02;Ventas;order;Mercado Sur;7200.33;13;3586.43;on_time;9;CRM
AST-0001790;2024-11-11;Ventas;order;Casa Nativa;2942.37;16;3586.43;on_time;10;CRM
AST-0001791;2024-11-26;Ventas;order;Grupo Terra;5411.09;5;3586.43;late;10;CRM
AST-0001792;2024-11-14;Ventas;sales;Cuenta Andina;9570.88;1;14808.47;pending;7;CRM
AST-0001793;2024-11-20;Ventas;sales;Casa Nativa;12253.0;1;14808.47;on_time;6;CRM
AST-0001794;2024-11-15;Ventas;sales;Cuenta Andina;10473.81;6;14808.47;on_time;8;CRM
AST-0001795;2024-11-17;Ventas;margin_input;Grupo Terra;7203.15;7;8329.76;on_time;5;CRM
AST-0001796;2024-11-02;Ventas;order;Mercado Sur;4929.7;17;3586.43;on_time;7;CRM
AST-0001797;2024-11-03;Ventas;sales;Grupo Terra;21188.96;11;14808.47;on_time;10;CRM
AST-0001798;2024-11-12;Ventas;order;Cliente Boreal;4945.37;1;3586.43;late;7;CRM
AST-0001799;2024-11-04;Ventas;order;Casa Nativa;5252.46;2;3586.43;on_time;10;CRM
AST-0001800;2024-11-17;Ventas;margin_input;Casa Nativa;5505.32;13;8329.76;late;10;CRM
