record_id,fecha,area,metric_type,proveedor,importe,cantidad,presupuesto,estado,cycle_days,sistema
AST-0002376,2025-01-20,Compras,expense,Pampa Logistics,4965.36,6,6646.4,on_time,5,PROCURE
AST-0002377,2025-01-14,Compras,order,Pampa Logistics,1566.9,5,3323.2,approved,11,PROCURE
AST-0002378,2025-01-21,Compras,order,Norte Industrial,2632.75,1,3323.2,on_time,5,PROCURE
AST-0002379,2025-01-16,Compras,supplier,Atlas Supply,7163.49,13,4180.8,approved,4,PROCURE
AST-0002380,2025-01-20,Compras,supplier,Norte Industrial,3769.37,18,4180.8,approved,8,PROCURE
AST-0002381,2025-01-14,Compras,order,Pampa Logistics,3049.84,9,3323.2,on_time,1,PROCURE
AST-0002382,2025-01-01,Compras,expense,Orion Tech,5661.79,12,6646.4,on_time,9,PROCURE
AST-0002383,2025-01-09,Compras,supplier,Pampa Logistics,5886.87,18,4180.8,on_time,6,PROCURE
AST-0002384,2025-01-19,Compras,supplier,Atlas Supply,2741.63,1,4180.8,on_time,4,PROCURE
AST-0002385,2025-01-16,Compras,order,Litoral Office,3858.79,10,3323.2,approved,7,PROCURE
AST-0002386,2025-01-17,Compras,supplier,Litoral Office,2446.05,5,4180.8,on_time,7,PROCURE
AST-0002387,2025-01-08,Compras,expense,Orion Tech,18615.51,14,6646.4,pending,6,PROCURE
AST-0002388,2025-01-23,Compras,order,Litoral Office,5849.94,22,3323.2,on_time,8,PROCURE
AST-0002389,2025-01-01,Compras,supplier,Norte Industrial,3088.53,16,4180.8,on_time,6,PROCURE
AST-0002390,2025-01-02,Compras,expense,Litoral Office,2366.97,9,6646.4,late,3,PROCURE
AST-0002391,2025-01-08,Compras,supplier,Pampa Logistics,2362.68,20,4180.8,approved,8,PROCURE
AST-0002392,2025-01-24,Compras,expense,Litoral Office,7066.51,2,6646.4,pending,4,PROCURE
AST-0002393,2025-01-22,Compras,supplier,Orion Tech,2531.29,16,4180.8,on_time,10,PROCURE
AST-0002394,2025-01-24,Compras,expense,Norte Industrial,4529.6,2,6646.4,approved,5,PROCURE
AST-0002395,2025-01-25,Compras,expense,Atlas Supply,4810.6,21,6646.4,approved,5,PROCURE
AST-0002396,2025-01-13,Compras,order,Orion Tech,2252.28,15,3323.2,on_time,9,PROCURE
AST-0002397,2025-01-15,Compras,supplier,Orion Tech,2609.13,9,4180.8,approved,7,PROCURE
AST-0002398,2025-01-26,Compras,order,Norte Industrial,3930.48,10,3323.2,on_time,3,PROCURE
AST-0002399,2025-01-27,Compras,order,Pampa Logistics,3464.21,16,3323.2,late,4,PROCURE
AST-0002400,2025-01-17,Compras,order,Orion Tech,4266.71,8,3323.2,late,7,PROCURE
AST-0002401,2025-01-14,Compras,supplier,,6590.73,10,4180.8,on_time,10,PROCURE
AST-0002402,2025-01-14,Compras,expense,Pampa Logistics,3812.56,1,6646.4,on_time,9,PROCURE
AST-0002403,2025-01-28,Compras,supplier,Litoral Office,2409.42,1,4180.8,on_time,7,PROCURE
AST-0002404,2025-01-23,Compras,expense,Norte Industrial,5187.27,12,6646.4,late,4,PROCURE
AST-0002405,2025-01-20,Compras,expense,Litoral Office,4148.5,1,6646.4,pending,5,PROCURE
AST-0002406,2025-01-18,Compras,supplier,Pampa Logistics,2280.22,5,4180.8,on_time,9,PROCURE
AST-0002407,2025-01-02,Compras,expense,Atlas Supply,2542.87,1,6646.4,approved,3,PROCURE
AST-0002408,2025-01-13,Compras,supplier,Atlas Supply,3662.45,1,4180.8,late,1,PROCURE
AST-0002409,2025-01-20,Compras,expense,Orion Tech,9197.14,6,6646.4,approved,10,PROCURE
AST-0002410,2025-01-27,Compras,order,Norte Industrial,2139.83,1,3323.2,on_time,5,PROCURE
AST-0002411,2025-01-22,Compras,order,Litoral Office,4818.34,3,3323.2,approved,11,PROCURE
AST-0002412,2025-01-20,Compras,expense,Orion Tech,4983.37,10,6646.4,on_time,8,PROCURE
AST-0002413,2025-01-28,Compras,supplier,Orion Tech,4545.81,14,4180.8,on_time,9,PROCURE
AST-0002414,2025-01-14,Compras,supplier,Norte Industrial,5280.79,17,4180.8,approved,7,PROCURE
AST-0002415,2025-01-18,Compras,expense,Litoral Office,11005.59,10,6646.4,on_time,7,PROCURE
AST-0002416,2025-01-15,Compras,supplier,Norte Industrial,2908.14,1,4180.8,approved,5,PROCURE
AST-0002417,2025-01-15,Compras,order,Orion Tech,2680.9,12,3323.2,on_time,3,PROCURE
AST-0002418,2025-01-20,Compras,expense,Norte Industrial,3956.95,12,6646.4,late,9,PROCURE
AST-0002419,2025-01-22,Compras,supplier,Pampa Logistics,7306.41,12,4180.8,on_time,8,PROCURE
AST-0002420,2025-01-10,Compras,supplier,Pampa Logistics,4475.18,3,4180.8,approved,4,PROCURE
AST-0002421,2025-01-12,Compras,supplier,,3986.52,1,4180.8,pending,7,PROCURE
AST-0002422,2025-01-12,Compras,supplier,Pampa Logistics,3505.42,13,4180.8,approved,6,PROCURE
AST-0002423,2025-01-05,Compras,expense,Orion Tech,13226.88,2,6646.4,on_time,4,PROCURE
AST-0002424,2025-01-09,Compras,expense,Pampa Logistics,6162.89,13,6646.4,on_time,12,PROCURE
AST-0002425,2025-01-19,Compras,supplier,Atlas Supply,2218.55,17,4180.8,on_time,6,PROCURE
AST-0002426,2025-01-07,Compras,expense,Litoral Office,7789.75,4,6646.4,on_time,3,PROCURE
AST-0002427,2025-01-13,Compras,order,Atlas Supply,2912.61,1,3323.2,on_time,5,PROCURE
AST-0002428,2025-01-11,Compras,expense,Norte Industrial,4957.07,6,6646.4,on_time,10,PROCURE
AST-0002429,2025-01-21,Compras,expense,Litoral Office,8279.59,4,6646.4,on_time,7,PROCURE
AST-0002430,2025-01-01,Compras,order,Pampa Logistics,5836.09,4,3323.2,on_time,6,PROCURE
AST-0002431,2025-01-03,Compras,expense,Pampa Logistics,12549.83,8,6646.4,on_time,7,PROCURE
AST-0002432,2025-01-26,Compras,supplier,Pampa Logistics,5793.42,6,4180.8,on_time,11,PROCURE
AST-0002433,2025-01-26,Compras,expense,Atlas Supply,8240.43,7,6646.4,on_time,2,PROCURE
AST-0002434,2025-01-18,Compras,expense,Norte Industrial,4650.45,6,6646.4,approved,5,PROCURE
AST-0002435,2025-01-04,Compras,order,Pampa Logistics,6004.96,18,3323.2,approved,7,PROCURE
AST-0002436,2025-01-19,Compras,order,Atlas Supply,4312.72,15,3323.2,on_time,1,PROCURE
AST-0002437,2025-01-04,Compras,supplier,Pampa Logistics,4020.23,6,4180.8,approved,9,PROCURE
AST-0002438,2025-01-28,Compras,supplier,Litoral Office,3547.51,12,4180.8,approved,8,PROCURE
AST-0002439,2025-01-03,Compras,expense,Atlas Supply,4641.79,6,6646.4,on_time,7,PROCURE
AST-0002440,2025-01-01,Compras,order,Pampa Logistics,3011.92,6,3323.2,late,3,PROCURE
AST-0002441,2025-01-25,Compras,expense,Orion Tech,4349.96,5,6646.4,late,4,PROCURE
AST-0002442,2025-01-18,Compras,order,Norte Industrial,1543.06,5,3323.2,on_time,3,PROCURE
AST-0002443,2025-01-28,Compras,order,Litoral Office,4264.72,16,3323.2,on_time,9,PROCURE
