record_id,fecha,area,metric_type,proveedor,importe,cantidad,presupuesto,estado,cycle_days,sistema
AST-0002281,2025-01-08,Finanzas,expense,Aseguradora Nova,7358.38,1,6646.4,on_time,7,ERP_FIN
AST-0002282,2025-01-17,Finanzas,expense,,7129.7,1,6646.4,approved,5,ERP_FIN
AST-0002283,2025-01-05,Finanzas,payment,Impuestos,6392.3,10,5788.8,approved,6,ERP_FIN
AST-0002284,2025-01-25,Finanzas,payment,Banco Delta,5825.07,1,5788.8,on_time,5,ERP_FIN
AST-0002285,2025-01-14,Finanzas,invoice,Servicios Centrales,4462.57,1,4716.8,on_time,5,ERP_FIN
AST-0002286,2025-01-16,Finanzas,expense,Aseguradora Nova,12903.8,10,6646.4,on_time,7,ERP_FIN
AST-0002287,2025-01-11,Finanzas,invoice,Banco Delta,2791.85,5,4716.8,on_time,8,ERP_FIN
AST-0002288,2025-01-04,Finanzas,expense,Banco Delta,12126.58,8,6646.4,approved,6,ERP_FIN
AST-0002289,2025-01-21,Finanzas,expense,Servicios Centrales,6228.4,7,6646.4,on_time,7,ERP_FIN
AST-0002290,2025-01-25,Finanzas,expense,Impuestos,13753.68,1,6646.4,on_time,4,ERP_FIN
AST-0002291,2025-01-04,Finanzas,expense,Impuestos,8919.61,1,6646.4,on_time,8,ERP_FIN
AST-0002292,2025-01-03,Finanzas,invoice,Servicios Centrales,2303.1,13,4716.8,late,3,ERP_FIN
AST-0002293,2025-01-17,Finanzas,payment,Aseguradora Nova,2818.22,7,5788.8,late,2,ERP_FIN
AST-0002294,2025-01-04,Finanzas,invoice,Servicios Centrales,4332.71,3,4716.8,approved,7,ERP_FIN
AST-0002295,2025-01-18,Finanzas,expense,Impuestos,6032.92,5,6646.4,late,6,ERP_FIN
AST-0002296,2025-01-20,Finanzas,expense,Servicios Centrales,9816.21,4,6646.4,approved,7,ERP_FIN
AST-0002297,2025-01-28,Finanzas,payment,Servicios Centrales,2646.81,3,5788.8,on_time,7,ERP_FIN
AST-0002298,2025-01-17,Finanzas,invoice,Servicios Centrales,4147.23,1,4716.8,on_time,5,ERP_FIN
AST-0002299,2025-01-26,Finanzas,expense,Servicios Centrales,2710.87,1,6646.4,approved,3,ERP_FIN
AST-0002300,2025-01-24,Finanzas,invoice,Impuestos,4916.02,8,4716.8,on_time,10,ERP_FIN
AST-0002301,2025-01-20,Finanzas,payment,Banco Delta,-14558.37,6,5788.8,on_time,7,ERP_FIN
AST-0002302,2025-01-17,Finanzas,invoice,Banco Delta,5737.76,1,4716.8,approved,5,ERP_FIN
AST-0002303,2025-01-06,Finanzas,invoice,Impuestos,776.96,16,4716.8,approved,4,ERP_FIN
AST-0002304,2025-01-09,Finanzas,expense,Servicios Centrales,7188.63,2,6646.4,on_time,11,ERP_FIN
AST-0002305,2025-01-02,Finanzas,expense,Banco Delta,11090.96,11,6646.4,approved,4,ERP_FIN
AST-0002306,2025-01-20,Finanzas,invoice,Banco Delta,8394.44,25,4716.8,pending,8,ERP_FIN
