record_id,fecha,area,metric_type,proveedor,importe,cantidad,presupuesto,estado,cycle_days,sistema
AST-0002566,2025-01-10,Operaciones,inventory,Centro Sur,2775.09,46,2358.4,approved,11,WMS
AST-0002567,2025-01-15,Operaciones,compliance,Hub Oeste,348.24,11,750.4,on_time,8,WMS
AST-0002568,2025-01-16,Operaciones,compliance,Centro Sur,488.0,7,750.4,on_time,15,WMS
AST-0002569,2025-01-02,Operaciones,inventory,Centro Norte,1148.56,46,2358.4,on_time,12,WMS
AST-0002570,2025-01-12,Operaciones,cycle_time,Centro Norte,1014.55,9,964.8,on_time,9,WMS
AST-0002571,2025-01-08,Operaciones,cycle_time,Hub Oeste,900.03,9,964.8,on_time,10,WMS
AST-0002572,2025-01-26,Operaciones,cycle_time,Centro Sur,1536.83,9,964.8,on_time,15,WMS
AST-0002573,2025-01-05,Operaciones,cycle_time,Centro Norte,1141.43,9,964.8,approved,6,WMS
AST-0002574,2025-01-15,Operaciones,compliance,Hub Oeste,741.44,2,750.4,on_time,8,WMS
AST-0002575,2025-01-06,Operaciones,compliance,Centro Sur,272.77,1,750.4,on_time,12,WMS
AST-0002576,2025-01-27,Operaciones,cycle_time,Centro Sur,584.9,15,964.8,on_time,10,WMS
AST-0002577,2025-01-20,Operaciones,inventory,Centro Norte,2296.96,36,2358.4,late,14,WMS
AST-0002578,2025-01-11,Operaciones,inventory,Hub Litoral,3284.24,32,2358.4,on_time,8,WMS
AST-0002579,2025-01-09,Operaciones,cycle_time,Centro Norte,1151.37,8,964.8,on_time,9,WMS
AST-0002580,2025-01-07,Operaciones,inventory,Centro Norte,1902.86,38,2358.4,late,10,WMS
AST-0002581,2025-01-15,Operaciones,inventory,Hub Oeste,2840.18,39,2358.4,on_time,10,WMS
AST-0002582,2025-01-15,Operaciones,cycle_time,Hub Oeste,1694.49,1,964.8,on_time,14,WMS
AST-0002583,2025-01-11,Operaciones,cycle_time,Centro Norte,507.26,13,964.8,on_time,15,WMS
AST-0002584,2025-01-10,Operaciones,cycle_time,Centro Sur,1106.28,10,964.8,approved,13,WMS
AST-0002585,2025-01-03,Operaciones,inventory,Hub Litoral,1030.66,39,2358.4,on_time,10,WMS
AST-0002586,2025-01-26,Operaciones,inventory,Centro Sur,2234.62,48,2358.4,approved,10,WMS
AST-0002587,2025-01-06,Operaciones,cycle_time,Centro Norte,1206.7,11,964.8,on_time,13,WMS
