record_id,date,area,metric_type,supplier_name,net_value,units,target,status,lead_time,source_system
AST-0002756,2025-02-24,Compras,expense,Atlas Supply,7925.07,9,6317.55,on_time,7,PROCURE
AST-0002757,2025-02-19,Compras,expense,Pampa Logistics,10843.76,3,6317.55,on_time,7,PROCURE
AST-0002758,2025-02-20,Compras,expense,Orion Tech,4152.11,5,6317.55,pending,8,PROCURE
AST-0002759,2025-02-09,Compras,expense,Atlas Supply,3706.89,1,6317.55,approved,11,PROCURE
AST-0002760,2025-02-26,Compras,expense,Litoral Office,12927.57,1,6317.55,late,14,PROCURE
AST-0002761,2025-02-10,Compras,expense,Orion Tech,6531.56,6,6317.55,approved,11,PROCURE
AST-0002762,2025-02-20,Compras,supplier,Litoral Office,3086.91,19,3973.94,pending,11,PROCURE
AST-0002763,2025-02-17,Compras,order,Orion Tech,3741.03,5,3158.78,late,6,PROCURE
AST-0002764,2025-02-21,Compras,supplier,Atlas Supply,4036.42,5,3973.94,approved,1,PROCURE
AST-0002765,2025-02-21,Compras,order,Litoral Office,5718.39,5,3158.78,late,3,PROCURE
AST-0002766,2025-02-07,Compras,expense,Atlas Supply,3312.85,1,6317.55,on_time,7,PROCURE
AST-0002767,2025-02-23,Compras,expense,Atlas Supply,2960.14,21,6317.55,on_time,7,PROCURE
AST-0002768,2025-02-26,Compras,expense,Orion Tech,5663.29,11,6317.55,on_time,9,PROCURE
AST-0002769,2025-02-10,Compras,expense,Orion Tech,10775.54,3,6317.55,approved,7,PROCURE
AST-0002770,2025-02-01,Compras,expense,Pampa Logistics,8374.38,1,6317.55,on_time,15,PROCURE
AST-0002771,2025-02-28,Compras,expense,Atlas Supply,6420.88,16,6317.55,pending,7,PROCURE
AST-0002772,2025-02-23,Compras,expense,Pampa Logistics,5299.46,13,6317.55,on_time,11,PROCURE
AST-0002773,2025-02-07,Compras,expense,Orion Tech,3201.54,7,6317.55,approved,8,PROCURE
AST-0002774,2025-02-02,Compras,supplier,Litoral Office,3588.98,4,3973.94,late,1,PROCURE
AST-0002775,2025-02-07,Compras,supplier,Atlas Supply,2798.13,11,3973.94,on_time,10,PROCURE
AST-0002776,2025-02-12,Compras,supplier,Atlas Supply,2150.28,16,3973.94,on_time,7,PROCURE
AST-0002777,2025-02-09,Compras,expense,Litoral Office,2047.77,5,6317.55,on_time,7,PROCURE
AST-0002778,2025-02-01,Compras,expense,Norte Industrial,11074.93,17,6317.55,on_time,2,PROCURE
AST-0002779,2025-02-14,Compras,order,Atlas Supply,3827.74,1,3158.78,late,1,PROCURE
AST-0002780,2025-02-02,Compras,expense,Orion Tech,8520.98,16,6317.55,pending,8,PROCURE
AST-0002781,2025-02-09,Compras,expense,Orion Tech,12348.47,12,6317.55,approved,7,PROCURE
AST-0002782,2025-02-08,Compras,expense,Atlas Supply,6658.96,1,6317.55,on_time,6,PROCURE
AST-0002783,2025-02-24,Compras,order,Norte Industrial,1159.89,5,3158.78,on_time,8,PROCURE
AST-0002784,2027-02-15,Compras,supplier,Norte Industrial,5270.5,10,3973.94,on_time,4,PROCURE
AST-0002785,2025-02-12,Compras,expense,Orion Tech,4871.12,9,6317.55,on_time,6,PROCURE
AST-0002786,2025-02-06,Compras,order,Norte Industrial,4129.44,8,3158.78,late,6,PROCURE
AST-0002787,2025-02-23,Compras,supplier,Pampa Logistics,7168.12,5,3973.94,on_time,5,PROCURE
AST-0002788,2025-02-25,Compras,expense,Orion Tech,4260.95,11,6317.55,approved,9,PROCURE
AST-0002789,2025-02-05,Compras,supplier,Pampa Logistics,2664.04,6,3973.94,on_time,3,PROCURE
AST-0002790,2025-02-06,Compras,order,Atlas Supply,3052.24,3,3158.78,on_time,9,PROCURE
AST-0002791,2025-02-08,Compras,supplier,Pampa Logistics,7110.67,1,3973.94,approved,2,PROCURE
AST-0002792,2025-02-09,Compras,order,Atlas Supply,1200.55,6,3158.78,approved,7,PROCURE
AST-0002793,2025-02-19,Compras,expense,Orion Tech,7952.89,15,6317.55,approved,7,PROCURE
AST-0002794,2025-02-21,Compras,expense,Orion Tech,2407.32,16,6317.55,approved,2,PROCURE
AST-0002795,2025-02-22,Compras,order,Litoral Office,4909.44,19,3158.78,late,6,PROCURE
AST-0002796,2025-02-07,Compras,supplier,Litoral Office,5487.12,3,3973.94,on_time,5,PROCURE
AST-0002797,2025-02-01,Compras,order,Orion Tech,2134.47,13,3158.78,late,6,PROCURE
