record_id;posting_date;area;kpi_type;vendor;value;quantity;budget;status;cycle_days;origin
AST-0003136;2025-03-05;Compras;expense;Norte Industrial;2963.67;1;6089.02;approved;8;PROCURE
AST-0003137;2025-03-18;Compras;expense;Pampa Logistics;4222.62;17;6089.02;late;8;PROCURE
AST-0003138;2025-03-15;Compras;supplier;Pampa Logistics;3732.41;11;3830.19;on_time;7;PROCURE
AST-0003139;2025-03-16;Compras;expense;Pampa Logistics;5997.67;1;6089.02;approved;7;PROCURE
AST-0003140;2025-03-11;Compras;order;Norte Industrial;3273.43;4;3044.51;on_time;12;PROCURE
AST-0003141;2025-03-10;Compras;order;Litoral Office;2036.35;16;3044.51;on_time;9;PROCURE
AST-0003142;2025-03-06;Compras;order;Atlas Supply;1632.67;3;3044.51;on_time;5;PROCURE
AST-0003143;2025-03-07;Compras;expense;Litoral Office;8926.78;15;6089.02;late;7;PROCURE
AST-0003144;2025-03-08;Compras;order;Pampa Logistics;2799.27;1;3044.51;approved;1;PROCURE
AST-0003145;2025-03-20;Compras;supplier;Atlas Supply;8111.87;18;3830.19;approved;3;PROCURE
AST-0003146;2025-03-13;Compras;order;Pampa Logistics;4108.95;17;3044.51;on_time;7;PROCURE
AST-0003147;2025-03-09;Compras;order;Pampa Logistics;1453.13;13;3044.51;on_time;9;PROCURE
AST-0003148;2025-03-21;Compras;expense;Atlas Supply;5225.51;15;6089.02;approved;1;PROCURE
AST-0003149;2025-03-19;Compras;expense;Litoral Office;6694.54;2;6089.02;on_time;8;PROCURE
AST-0003150;2025-03-17;Compras;supplier;Litoral Office;5318.68;16;3830.19;on_time;5;PROCURE
AST-0003151;2025-03-10;Compras;order;Atlas Supply;2163.24;17;3044.51;late;6;PROCURE
AST-0003152;2025-03-12;Compras;expense;Norte Industrial;8686.86;19;6089.02;pending;13;PROCURE
AST-0003153;2025-03-25;Compras;expense;Atlas Supply;4656.46;1;6089.02;on_time;4;PROCURE
AST-0003154;2025-03-19;Compras;expense;Pampa Logistics;3401.22;5;6089.02;on_time;5;PROCURE
AST-0003155;2025-03-15;Compras;expense;Pampa Logistics;9974.79;12;6089.02;approved;13;PROCURE
AST-0003156;2025-03-12;Compras;order;Norte Industrial;2273.02;8;3044.51;approved;12;PROCURE
AST-0003157;2025-03-12;Compras;supplier;Orion Tech;6721.15;6;3830.19;on_time;1;PROCURE
AST-0003158;2025-03-01;Compras;supplier;Norte Industrial;3576.77;10;3830.19;on_time;13;PROCURE
AST-0003159;2025-03-03;Compras;expense;Atlas Supply;6138.95;16;6089.02;on_time;10;PROCURE
AST-0003160;2025-03-11;Compras;expense;Pampa Logistics;9386.21;8;6089.02;approved;3;PROCURE
AST-0003161;2025-03-25;Compras;order;Atlas Supply;2782.0;7;3044.51;approved;3;PROCURE
AST-0003162;2025-03-06;Compras;supplier;Litoral Office;3559.1;2;3830.19;approved;7;PROCURE
AST-0003163;2025-03-20;Compras;expense;Pampa Logistics;10753.25;10;6089.02;late;9;PROCURE
AST-0003164;2025-03-28;Compras;expense;Orion Tech;5063.9;4;6089.02;on_time;4;PROCURE
AST-0003165;2025-03-09;Compras;supplier;Orion Tech;3868.64;1;3830.19;late;7;PROCURE
AST-0003166;2025-03-18;Compras;expense;Litoral Office;8226.96;12;6089.02;on_time;4;PROCURE
AST-0003167;2025-03-20;Compras;order;Norte Industrial;2073.1;3;3044.51;on_time;15;PROCURE
AST-0003168;2025-03-13;Compras;expense;Norte Industrial;6078.18;3;6089.02;approved;11;PROCURE
AST-0003169;2025-03-26;Compras;expense;Litoral Office;4198.64;4;6089.02;late;5;PROCURE
AST-0003170;2025-03-23;Compras;order;Norte Industrial;5325.38;11;3044.51;late;10;PROCURE
AST-0003171;2025-03-16;Compras;order;Pampa Logistics;3328.23;2;3044.51;approved;5;PROCURE
AST-0003172;2025-03-19;Compras;order;Pampa Logistics;5204.85;1;3044.51;approved;6;PROCURE
AST-0003173;2025-03-01;Compras;expense;Orion Tech;5385.35;1;6089.02;on_time;1;PROCURE
AST-0003174;2025-03-22;Compras;expense;Norte Industrial;9561.51;5;6089.02;on_time;10;PROCURE
AST-0003175;2025-03-06;Compras;order;Norte Industrial;2512.38;5;3044.51;late;7;PROCURE
AST-0003176;2025-03-16;Compras;expense;Litoral Office;4703.55;11;6089.02;on_time;7;PROCURE
AST-0003177;2025-03-19;Compras;order;Litoral Office;3465.94;1;3044.51;approved;9;PROCURE
AST-0003178;2025-03-04;Compras;supplier;Norte Industrial;4540.33;14;3830.19;late;5;PROCURE
AST-0003179;2025-03-04;Compras;supplier;Pampa Logistics;1570.97;6;3830.19;on_time;3;PROCURE
AST-0003180;2025-03-15;Compras;supplier;Pampa Logistics;2330.3;16;3830.19;pending;8;PROCURE
AST-0003181;2025-03-06;Compras;expense;Orion Tech;10382.77;1;6089.02;approved;5;PROCURE
AST-0003182;2025-03-21;Compras;expense;Atlas Supply;5886.93;15;6089.02;on_time;1;PROCURE
AST-0003183;2025-03-07;Compras;order;Orion Tech;3804.64;12;3044.51;on_time;9;PROCURE
AST-0003184;2025-03-11;Compras;expense;Pampa Logistics;3623.89;2;6089.02;on_time;11;PROCURE
AST-0003185;2025-03-09;Compras;order;Orion Tech;5854.39;7;3044.51;pending;8;PROCURE
AST-0003186;2025-03-08;Compras;expense;Atlas Supply;5967.83;7;6089.02;on_time;6;PROCURE
AST-0003187;2025-03-05;Compras;supplier;Atlas Supply;2044.4;5;3830.19;on_time;14;PROCURE
AST-0003188;2025-03-16;Compras;order;Litoral Office;4248.83;6;3044.51;on_time;7;PROCURE
AST-0003189;2025-03-18;Compras;expense;Atlas Supply;4270.38;14;6089.02;approved;8;PROCURE
AST-0003190;2025-03-18;Compras;supplier;Norte Industrial;2007.76;4;3830.19;on_time;2;PROCURE
AST-0003191;2025-03-28;Compras;expense;Atlas Supply;8255.16;2;6089.02;on_time;8;PROCURE
AST-0003192;2025-03-21;Compras;expense;Orion Tech;4734.02;11;6089.02;late;8;PROCURE
AST-0003193;2025-03-24;Compras;expense;Orion Tech;5643.9;2;6089.02;on_time;9;PROCURE
AST-0003194;2025-03-03;Compras;order;Atlas Supply;3659.08;1;3044.51;approved;9;PROCURE
AST-0003195;2025-03-16;Compras;expense;Orion Tech;11678.7;1;6089.02;on_time;1;PROCURE
AST-0003196;2025-03-11;Compras;expense;Pampa Logistics;4952.06;4;6089.02;late;4;PROCURE
AST-0003197;2025-03-15;Compras;expense;Litoral Office;6365.01;10;6089.02;pending;6;PROCURE
AST-0003198;2025-03-21;Compras;expense;Pampa Logistics;5606.24;1;6089.02;on_time;10;PROCURE
AST-0003199;2025-03-14;Compras;expense;Atlas Supply;10262.76;3;6089.02;on_time;3;PROCURE
AST-0003200;2025-03-01;Compras;supplier;Orion Tech;4941.94;6;3830.19;on_time;8;PROCURE
AST-0003201;2025-03-09;Compras;order;Pampa Logistics;4101.63;17;3044.51;on_time;2;PROCURE
AST-0003202;2025-03-24;Compras;order;Atlas Supply;3725.94;6;3044.51;on_time;2;PROCURE
AST-0003203;2025-03-19;Compras;supplier;Norte Industrial;3625.31;4;3830.19;on_time;6;PROCURE
AST-0003204;2025-03-25;Compras;expense;Pampa Logistics;5561.98;21;6089.02;on_time;5;PROCURE
AST-0003205;2025-03-18;Compras;supplier;Litoral Office;3992.53;8;3830.19;approved;5;PROCURE
AST-0003206;2025-03-01;Compras;order;Litoral Office;2730.83;1;3044.51;late;5;PROCURE
AST-0003207;2025-03-26;Compras;order;Pampa Logistics;5303.9;17;3044.51;late;5;PROCURE
AST-0003208;2025-03-05;Compras;supplier;Litoral Office;4309.58;1;3830.19;on_time;6;PROCURE
AST-0003209;2025-03-18;Compras;expense;Norte Industrial;4279.15;25;6089.02;on_time;6;PROCURE
AST-0003210;2025-03-06;Compras;expense;Atlas Supply;4853.43;3;6089.02;approved;9;PROCURE
AST-0003211;2025-03-26;Compras;expense;Orion Tech;2785.63;8;6089.02;on_time;6;PROCURE
AST-0003212;2025-03-24;Compras;expense;Norte Industrial;4716.02;5;6089.02;on_time;7;PROCURE
AST-0003213;2025-03-23;Compras;expense;Atlas Supply;5754.08;2;6089.02;on_time;6;PROCURE
AST-0003214;2025-03-24;Compras;expense;Atlas Supply;2733.25;1;6089.02;on_time;1;PROCURE
AST-0003215;2025-03-20;Compras;expense;Norte Industrial;10819.89;10;6089.02;on_time;4;PROCURE
AST-0003216;2025-03-21;Compras;supplier;Atlas Supply;2772.32;17;3830.19;pending;3;PROCURE
AST-0003217;2025-03-28;Compras;expense;Orion Tech;8164.03;8;6089.02;approved;10;PROCURE
AST-0003218;2025-03-04;Compras;expense;Norte Industrial;7250.68;11;6089.02;on_time;1;PROCURE
AST-0003219;2025-03-06;Compras;expense;Atlas Supply;7035.34;14;6089.02;on_time;8;PROCURE
AST-0003220;2025-03-11;Compras;expense;Orion Tech;5973.25;16;6089.02;on_time;9;PROCURE
AST-0003221;2025-03-23;Compras;supplier;Pampa Logistics;6666.94;2;3830.19;on_time;6;PROCURE
AST-0003222;2027-02-15;Compras;expense;Pampa Logistics;3189.3;1;6089.02;approved;5;PROCURE
AST-0003223;2025-03-17;Compras;expense;Litoral Office;5929.71;9;6089.02;approved;13;PROCURE
AST-0003224;2025-03-17;Compras;supplier;Pampa Logistics;4981.82;1;3830.19;late;5;PROCURE
AST-0003225;2025-03-12;Compras;expense;Litoral Office;4069.47;1;6089.02;on_time;11;PROCURE
AST-0003226;2025-03-24;Compras;expense;Orion Tech;3786.91;1;6089.02;late;11;PROCURE
AST-0003227;2025-03-20;Compras;order;Norte Industrial;2855.83;8;3044.51;late;7;PROCURE
AST-0003228;2025-03-21;Compras;expense;Atlas Supply;3096.58;5;6089.02;on_time;2;PROCURE
AST-0003229;2025-03-24;Compras;supplier;Litoral Office;4009.05;2;3830.19;approved;6;PROCURE
AST-0003230;2025-03-07;Compras;supplier;Litoral Office;7248.05;5;3830.19;approved;9;PROCURE
