record_id,date,area,metric_type,supplier_name,net_value,units,target,status,lead_time,source_system
AST-0004086,2025-05-06,Operaciones,inventory,Centro Norte,2452.24,36,2207.93,on_time,11,WMS
AST-0004087,2025-05-25,Operaciones,compliance,Hub Litoral,387.4,1,702.52,on_time,14,WMS
AST-0004088,2025-05-13,Operaciones,inventory,Hub Oeste,1080.49,50,2207.93,late,5,WMS
AST-0004089,2025-05-28,Operaciones,compliance,Hub Litoral,405.19,1,702.52,pending,14,WMS
AST-0004090,2025-05-07,Operaciones,inventory,Centro Sur,1884.35,37,2207.93,on_time,13,WMS
AST-0004091,2025-05-14,Operaciones,cycle_time,Centro Sur,720.09,1,903.25,late,6,WMS
AST-0004092,2025-05-19,Operaciones,inventory,Hub Oeste,2425.37,43,2207.93,approved,11,WMS
AST-0004093,2025-05-25,Operaciones,compliance,Hub Oeste,606.59,16,702.52,on_time,7,WMS
AST-0004094,2025-05-02,Operaciones,cycle_time,Hub Oeste,1446.36,2,903.25,on_time,14,WMS
AST-0004095,2025-05-26,Operaciones,inventory,Centro Sur,3985.71,51,2207.93,approved,14,WMS
AST-0004096,2025-05-26,Operaciones,cycle_time,Hub Litoral,1037.63,9,903.25,approved,12,WMS
AST-0004097,2025-05-17,Operaciones,inventory,Hub Oeste,1768.03,55,2207.93,late,13,WMS
AST-0004098,2025-05-13,Operaciones,compliance,Centro Norte,626.32,12,702.52,on_time,18,WMS
AST-0004099,2025-05-02,Operaciones,cycle_time,Hub Oeste,744.89,6,903.25,approved,12,WMS
AST-0004100,2025-05-01,Operaciones,compliance,Centro Sur,415.51,7,702.52,on_time,11,WMS
AST-0004101,2025-05-02,Operaciones,inventory,Hub Oeste,2521.46,27,2207.93,approved,16,WMS
AST-0004102,2025-05-20,Operaciones,inventory,Centro Norte,3198.99,47,2207.93,late,11,WMS
AST-0004103,2025-05-04,Operaciones,inventory,Hub Litoral,1890.6,35,2207.93,on_time,11,WMS
AST-0004104,2025-05-22,Operaciones,cycle_time,Centro Norte,611.76,12,903.25,on_time,14,WMS
AST-0004105,2025-05-16,Operaciones,cycle_time,Centro Sur,1173.32,1,903.25,approved,12,WMS
AST-0004106,2025-05-07,Operaciones,inventory,Centro Sur,2743.22,45,2207.93,on_time,9,WMS
AST-0004107,2025-05-21,Operaciones,cycle_time,Centro Sur,1144.45,6,903.25,approved,5,WMS
AST-0004108,2025-05-17,Operaciones,inventory,Hub Oeste,2096.06,44,2207.93,on_time,14,WMS
AST-0004109,2025-05-05,Operaciones,cycle_time,Centro Sur,1242.53,12,903.25,approved,10,WMS
AST-0004110,2025-05-03,Operaciones,cycle_time,Hub Oeste,2056.36,9,903.25,approved,15,WMS
AST-0004111,2025-05-14,Operaciones,inventory,Centro Norte,2161.18,46,2207.93,on_time,9,WMS
AST-0004112,2025-05-13,Operaciones,compliance,Hub Oeste,773.92,11,702.52,on_time,5,WMS
AST-0004113,2025-05-19,Operaciones,inventory,Centro Sur,1812.5,56,2207.93,late,11,WMS
AST-0004114,2025-05-16,Operaciones,cycle_time,Centro Norte,289.75,9,903.25,approved,12,WMS
AST-0004115,2025-05-25,Operaciones,compliance,Hub Oeste,637.19,10,702.52,on_time,10,WMS
AST-0004116,2025-05-13,Operaciones,inventory,Hub Litoral,2555.13,55,2207.93,approved,12,WMS
AST-0004117,2025-05-10,Operaciones,compliance,Hub Litoral,1355.49,7,702.52,on_time,12,WMS
