record_id;fecha;area;metric_type;proveedor;importe;cantidad;presupuesto;estado;cycle_days;sistema
AST-0004656;2025-07-27;Compras;supplier;Litoral Office;2623.85;4;4461.6;on_time;7;PROCURE
AST-0004657;2025-07-21;Compras;expense;Pampa Logistics;8481.67;16;7092.8;on_time;2;PROCURE
AST-0004658;2025-07-08;Compras;expense;Atlas Supply;5847.64;7;7092.8;on_time;5;PROCURE
AST-0004659;2025-07-11;Compras;expense;Orion Tech;9758.72;1;7092.8;on_time;8;PROCURE
AST-0004660;2025-07-18;Compras;expense;Orion Tech;3710.76;7;7092.8;on_time;12;PROCURE
AST-0004661;2025-07-13;Compras;supplier;Orion Tech;3410.16;22;4461.6;approved;2;PROCURE
AST-0004662;2025-07-08;Compras;order;Norte Industrial;3399.02;4;3546.4;late;14;PROCURE
AST-0004663;2025-07-12;Compras;order;Litoral Office;2942.56;6;3546.4;on_time;8;PROCURE
AST-0004664;2025-07-11;Compras;supplier;Norte Industrial;5126.12;4;4461.6;on_time;5;PROCURE
AST-0004665;2025-07-24;Compras;expense;Orion Tech;10131.44;14;7092.8;approved;3;PROCURE
AST-0004666;2025-07-15;Compras;expense;Litoral Office;14475.82;3;7092.8;on_time;8;PROCURE
AST-0004667;2025-07-13;Compras;order;Pampa Logistics;4512.67;6;3546.4;approved;7;PROCURE
AST-0004668;2025-07-05;Compras;supplier;Pampa Logistics;3728.84;13;4461.6;on_time;7;PROCURE
AST-0004669;2025-07-09;Compras;order;Atlas Supply;4796.38;12;3546.4;on_time;9;PROCURE
AST-0004670;2025-07-20;Compras;expense;Orion Tech;6419.97;6;7092.8;on_time;7;PROCURE
AST-0004671;2025-07-09;Compras;expense;Litoral Office;11429.88;1;7092.8;late;6;PROCURE
AST-0004672;2025-07-26;Compras;expense;Orion Tech;8139.52;4;7092.8;approved;2;PROCURE
AST-0004673;2025-07-26;Compras;order;Atlas Supply;4462.58;9;3546.4;approved;10;PROCURE
AST-0004674;2025-07-11;Compras;expense;Norte Industrial;11604.55;1;7092.8;approved;8;PROCURE
AST-0004675;2025-07-16;Compras;order;Norte Industrial;3509.27;2;3546.4;late;10;PROCURE
AST-0004676;2025-07-17;Compras;expense;Litoral Office;6874.93;3;7092.8;approved;9;PROCURE
AST-0004677;2025-07-22;Compras;expense;Litoral Office;4863.38;10;7092.8;approved;4;PROCURE
AST-0004678;2025-07-07;Compras;order;Pampa Logistics;3632.65;1;3546.4;late;1;PROCURE
AST-0004679;2025-07-13;Compras;order;Orion Tech;2031.12;1;3546.4;approved;5;PROCURE
AST-0004680;2025-07-25;Compras;supplier;Norte Industrial;3121.18;6;4461.6;on_time;7;PROCURE
AST-0004681;2025-07-22;Compras;order;Atlas Supply;2897.37;8;3546.4;approved;5;PROCURE
AST-0004682;2025-07-16;Compras;expense;Norte Industrial;8802.42;20;7092.8;on_time;2;PROCURE
AST-0004683;2025-07-10;Compras;supplier;Norte Industrial;4468.71;6;4461.6;pending;2;PROCURE
AST-0004684;2025-07-12;Compras;order;Atlas Supply;5312.16;1;3546.4;on_time;1;PROCURE
AST-0004685;2025-07-16;Compras;supplier;Litoral Office;4754.95;13;4461.6;on_time;7;PROCURE
AST-0004686;2025-07-20;Compras;order;Atlas Supply;4684.28;9;3546.4;on_time;7;PROCURE
AST-0004687;2025-07-14;Compras;supplier;Pampa Logistics;2366.63;11;4461.6;on_time;8;PROCURE
AST-0004688;2025-07-24;Compras;supplier;Litoral Office;5202.94;8;4461.6;on_time;8;PROCURE
AST-0004689;2025-07-26;Compras;expense;Atlas Supply;4411.54;5;7092.8;late;8;PROCURE
AST-0004690;2025-07-17;Compras;expense;Orion Tech;6670.6;6;7092.8;on_time;10;PROCURE
