record_id;fecha;area;metric_type;proveedor;importe;cantidad;presupuesto;estado;cycle_days;sistema
AST-0004846;2025-07-20;Operaciones;inventory;Centro Norte;4210.0;53;2516.8;on_time;12;WMS
AST-0004847;2025-07-14;Operaciones;compliance;Centro Norte;1265.29;5;800.8;on_time;12;WMS
AST-0004848;2025-07-23;Operaciones;cycle_time;Hub Oeste;519.98;2;1029.6;approved;9;WMS
AST-0004849;2025-07-15;Operaciones;inventory;Centro Sur;2507.14;43;2516.8;approved;7;WMS
AST-0004850;2025-07-01;Operaciones;inventory;Hub Litoral;1535.81;36;2516.8;approved;12;WMS
AST-0004851;2025-07-07;Operaciones;cycle_time;Centro Sur;1030.35;17;1029.6;approved;13;WMS
AST-0004852;2025-07-16;Operaciones;cycle_time;Centro Sur;1403.94;4;1029.6;pending;9;WMS
AST-0004853;2025-07-20;Operaciones;inventory;Centro Norte;3905.32;39;2516.8;on_time;11;WMS
AST-0004854;2025-07-14;Operaciones;inventory;Centro Norte;3598.33;30;2516.8;on_time;11;WMS
AST-0004855;2025-07-16;Operaciones;compliance;Hub Litoral;634.79;3;800.8;approved;9;WMS
AST-0004856;2025-07-22;Operaciones;inventory;Hub Oeste;2719.55;47;2516.8;on_time;17;WMS
AST-0004857;2025-07-21;Operaciones;inventory;Centro Norte;2518.7;51;2516.8;late;11;WMS
AST-0004858;2025-07-21;Operaciones;compliance;Centro Sur;810.39;12;800.8;on_time;9;WMS
AST-0004859;2025-07-01;Operaciones;inventory;Centro Sur;3363.25;43;2516.8;on_time;13;WMS
AST-0004860;2025-07-08;Operaciones;inventory;Centro Sur;5452.37;58;2516.8;late;12;WMS
AST-0004861;2025-07-05;Operaciones;compliance;Centro Norte;876.25;9;800.8;approved;16;WMS
AST-0004862;2025-07-08;Operaciones;inventory;Hub Oeste;1713.11;36;2516.8;on_time;17;WMS
AST-0004863;2025-07-15;Operaciones;inventory;Hub Litoral;2106.15;47;2516.8;approved;3;WMS
AST-0004864;2025-07-14;Operaciones;cycle_time;Centro Sur;1264.44;3;1029.6;on_time;14;WMS
AST-0004865;2025-07-27;Operaciones;inventory;Centro Norte;2459.42;31;2516.8;on_time;9;WMS
AST-0004866;2025-07-13;Operaciones;compliance;Hub Litoral;825.63;19;800.8;late;15;WMS
AST-0004867;2025-07-09;Operaciones;inventory;Hub Litoral;2375.42;52;2516.8;late;10;WMS
AST-0004868;2025-07-18;Operaciones;compliance;Hub Litoral;374.31;13;800.8;on_time;10;WMS
AST-0004869;2025-07-23;Operaciones;cycle_time;Hub Oeste;880.26;10;1029.6;approved;11;WMS
AST-0004870;2025-07-18;Operaciones;compliance;Centro Sur;1008.2;1;800.8;on_time;8;WMS
AST-0004871;2025-07-09;Operaciones;inventory;Centro Norte;1686.46;35;2516.8;late;13;WMS
AST-0004872;2025-07-27;Operaciones;compliance;Centro Norte;1312.1;7;800.8;on_time;17;WMS
AST-0004873;2025-07-28;Operaciones;compliance;Centro Sur;757.11;9;800.8;approved;14;WMS
AST-0004874;2025-07-16;Operaciones;cycle_time;Hub Litoral;1011.96;1;1029.6;on_time;8;WMS
AST-0004875;2025-07-17;Operaciones;compliance;Hub Litoral;1994.56;18;800.8;approved;9;WMS
AST-0004876;2025-07-14;Operaciones;compliance;Centro Norte;590.04;1;800.8;on_time;11;WMS
AST-0004877;2025-07-10;Operaciones;cycle_time;Centro Norte;917.62;1;1029.6;on_time;9;WMS
AST-0004878;2025-07-18;Operaciones;compliance;Hub Oeste;761.4;1;800.8;on_time;13;WMS
AST-0004879;2025-07-07;Operaciones;inventory;Centro Norte;1889.53;46;2516.8;approved;15;WMS
AST-0004880;2025-07-09;Operaciones;inventory;Hub Litoral;1976.32;36;2516.8;on_time;12;WMS
AST-0004881;2025-07-01;Operaciones;inventory;Centro Norte;2440.06;42;2516.8;on_time;15;WMS
AST-0004882;2025-07-25;Operaciones;cycle_time;Hub Litoral;945.52;4;1029.6;on_time;13;WMS
AST-0004883;2025-07-24;Operaciones;inventory;Centro Sur;5831.37;39;2516.8;approved;11;WMS
AST-0004884;2025-07-21;Operaciones;inventory;Hub Oeste;1778.43;49;2516.8;on_time;10;WMS
AST-0004885;2025-07-15;Operaciones;inventory;Centro Norte;3042.31;51;2516.8;approved;11;WMS
