record_id;fecha;area;metric_type;proveedor;importe;cantidad;presupuesto;estado;cycle_days;sistema
AST-0004751;2025-07-03;Ventas;margin_input;;6691.75;1;8236.8;on_time;7;CRM
AST-0004752;2025-07-21;Ventas;order;Cuenta Andina;2800.03;5;3546.4;approved;4;CRM
AST-0004753;2025-07-11;Ventas;margin_input;Cuenta Andina;3921.89;2;8236.8;pending;8;CRM
AST-0004754;2025-07-26;Ventas;margin_input;Cliente Boreal;7984.45;5;8236.8;on_time;5;CRM
AST-0004755;2025-07-04;Ventas;margin_input;Cliente Boreal;7539.97;5;8236.8;on_time;5;CRM
AST-0004756;2025-07-26;Ventas;margin_input;Casa Nativa;4613.07;13;8236.8;approved;8;CRM
AST-0004757;2025-07-24;Ventas;order;Cliente Boreal;3197.69;3;3546.4;approved;11;CRM
AST-0004758;2025-07-24;Ventas;margin_input;Cuenta Andina;6928.61;1;8236.8;on_time;5;CRM
AST-0004759;2025-07-14;Ventas;order;Grupo Terra;1276.63;4;3546.4;on_time;5;CRM
AST-0004760;2025-07-05;Ventas;margin_input;Cuenta Andina;8824.98;7;8236.8;on_time;5;CRM
AST-0004761;2025-07-20;Ventas;order;Cliente Boreal;1846.24;2;3546.4;approved;6;CRM
AST-0004762;2025-07-15;Ventas;sales;Cliente Boreal;28355.67;15;14643.2;approved;10;CRM
AST-0004763;2025-07-20;Ventas;sales;Casa Nativa;21130.55;5;14643.2;on_time;7;CRM
AST-0004764;2025-07-03;Ventas;order;Mercado Sur;6316.9;5;3546.4;approved;5;CRM
AST-0004765;2025-07-21;Ventas;sales;Cuenta Andina;15048.87;9;14643.2;approved;3;CRM
AST-0004766;2025-07-09;Ventas;sales;Grupo Terra;15638.67;19;14643.2;approved;7;CRM
AST-0004767;2025-07-22;Ventas;sales;Mercado Sur;12405.73;9;14643.2;late;6;CRM
AST-0004768;2025-07-16;Ventas;margin_input;Casa Nativa;7770.51;9;8236.8;on_time;11;CRM
AST-0004769;2025-07-14;Ventas;order;Cliente Boreal;2482.96;2;3546.4;approved;4;CRM
AST-0004770;2025-07-24;Ventas;sales;Grupo Terra;12527.36;13;14643.2;approved;2;CRM
AST-0004771;2025-07-27;Ventas;sales;Mercado Sur;24140.36;2;14643.2;on_time;1;CRM
AST-0004772;2025-07-06;Ventas;sales;Casa Nativa;17206.69;14;14643.2;approved;10;CRM
AST-0004773;2025-07-25;Ventas;margin_input;;2315.36;14;8236.8;late;1;CRM
AST-0004774;2025-07-17;Ventas;order;Grupo Terra;3997.73;8;3546.4;approved;9;CRM
AST-0004775;2025-07-20;Ventas;order;Casa Nativa;2121.05;13;3546.4;approved;8;CRM
AST-0004776;2025-07-18;Ventas;sales;Cliente Boreal;8617.06;11;14643.2;on_time;5;CRM
AST-0004777;2025-07-23;Ventas;order;Casa Nativa;4821.98;15;3546.4;on_time;6;CRM
AST-0004778;2025-07-03;Ventas;order;Mercado Sur;3393.45;12;3546.4;approved;6;CRM
AST-0004779;2025-07-08;Ventas;margin_input;Cliente Boreal;12270.24;4;8236.8;on_time;9;CRM
AST-0004780;2025-07-13;Ventas;order;Cuenta Andina;5619.39;15;3546.4;on_time;6;CRM
AST-0004781;2025-07-23;Ventas;margin_input;Casa Nativa;6909.87;1;8236.8;on_time;6;CRM
AST-0004782;2025-07-21;Ventas;sales;Cliente Boreal;16392.1;1;14643.2;approved;8;CRM
AST-0004783;2025-07-22;Ventas;sales;Cliente Boreal;18255.74;8;14643.2;on_time;7;CRM
AST-0004784;2025-07-17;Ventas;order;Grupo Terra;4324.74;17;3546.4;approved;3;CRM
AST-0004785;2025-07-15;Ventas;margin_input;Cliente Boreal;7495.12;7;8236.8;on_time;11;CRM
AST-0004786;2025-07-19;Ventas;margin_input;Mercado Sur;5534.64;9;8236.8;on_time;5;CRM
AST-0004787;2025-07-05;Ventas;order;Mercado Sur;4111.91;7;3546.4;late;12;CRM
AST-0004788;2025-07-06;Ventas;order;Mercado Sur;4757.62;3;3546.4;approved;1;CRM
AST-0004789;2025-07-09;Ventas;margin_input;Cliente Boreal;9677.89;5;8236.8;approved;11;CRM
AST-0004790;2025-07-27;Ventas;order;Mercado Sur;2892.52;1;3546.4;approved;6;CRM
AST-0004791;2025-07-04;Ventas;margin_input;Cliente Boreal;6368.69;1;8236.8;on_time;8;CRM
AST-0004792;2025-07-10;Ventas;sales;Cuenta Andina;24234.03;1;14643.2;on_time;10;CRM
AST-0004793;2025-07-05;Ventas;sales;Grupo Terra;29880.62;4;14643.2;on_time;6;CRM
AST-0004794;2025-07-19;Ventas;sales;Grupo Terra;8741.09;16;14643.2;on_time;5;CRM
AST-0004795;2025-07-22;Ventas;sales;Mercado Sur;8761.91;12;14643.2;on_time;9;CRM
AST-0004796;2025-07-26;Ventas;sales;Cuenta Andina;10542.55;11;14643.2;approved;11;CRM
AST-0004797;2025-07-24;Ventas;margin_input;Mercado Sur;10073.67;1;8236.8;on_time;8;CRM
AST-0004798;2025-07-09;Ventas;sales;Casa Nativa;20746.75;13;14643.2;approved;6;CRM
AST-0004799;2025-07-17;Ventas;order;Cliente Boreal;4307.89;20;3546.4;on_time;8;CRM
AST-0004800;2025-07-27;Ventas;sales;Mercado Sur;15448.66;12;14643.2;late;9;CRM
AST-0004801;2025-07-07;Ventas;order;Cliente Boreal;5535.9;14;3546.4;on_time;5;CRM
AST-0004802;2025-07-17;Ventas;order;Mercado Sur;2461.23;8;3546.4;on_time;9;CRM
AST-0004803;2025-07-10;Ventas;order;Cuenta Andina;5653.68;6;3546.4;on_time;6;CRM
AST-0004804;2025-07-17;Ventas;margin_input;Cuenta Andina;6235.32;16;8236.8;on_time;6;CRM
AST-0004805;2025-07-13;Ventas;margin_input;Cuenta Andina;4848.73;6;8236.8;pending;9;CRM
AST-0004806;2025-07-10;Ventas;margin_input;Cuenta Andina;7941.99;1;8236.8;late;6;CRM
AST-0004807;2025-07-23;Ventas;sales;Mercado Sur;18507.08;1;14643.2;approved;15;CRM
AST-0004808;2025-07-26;Ventas;margin_input;Mercado Sur;11991.28;13;8236.8;pending;6;CRM
AST-0004809;2025-07-24;Ventas;margin_input;Mercado Sur;5161.0;3;8236.8;on_time;5;CRM
AST-0004810;2025-07-15;Ventas;order;Cuenta Andina;3065.26;1;3546.4;on_time;1;CRM
AST-0004811;2025-07-01;Ventas;sales;Cuenta Andina;18141.2;3;14643.2;on_time;8;CRM
AST-0004812;2025-07-22;Ventas;order;Grupo Terra;2375.3;5;3546.4;on_time;6;CRM
AST-0004813;2025-07-16;Ventas;sales;Cuenta Andina;16525.42;1;14643.2;on_time;8;CRM
AST-0004814;2025-07-07;Ventas;sales;Cuenta Andina;27958.06;15;14643.2;on_time;7;CRM
AST-0004815;2025-07-21;Ventas;sales;Cuenta Andina;9468.01;3;14643.2;late;16;CRM
AST-0004816;2025-07-06;Ventas;sales;Cliente Boreal;15281.14;20;14643.2;approved;8;CRM
AST-0004817;2025-07-15;Ventas;sales;Casa Nativa;10199.18;5;14643.2;approved;6;CRM
AST-0004818;2025-07-25;Ventas;margin_input;Cliente Boreal;17253.19;13;8236.8;approved;11;CRM
AST-0004819;2025-07-16;Ventas;order;Cuenta Andina;3846.9;12;3546.4;late;1;CRM
AST-0004820;2025-07-21;Ventas;order;Cliente Boreal;6603.14;10;3546.4;approved;11;CRM
AST-0004821;2025-07-08;Ventas;sales;Cliente Boreal;12132.33;14;14643.2;approved;6;CRM
AST-0004822;2025-07-19;Ventas;margin_input;Grupo Terra;6285.26;15;8236.8;late;5;CRM
AST-0004823;2025-07-10;Ventas;sales;Mercado Sur;14587.83;1;14643.2;on_time;3;CRM
