record_id,posting_date,area,kpi_type,vendor,value,quantity,budget,status,cycle_days,origin
AST-0005606,2025-09-02,Operaciones,inventory,Hub Litoral,1630.45,48,2836.64,approved,13,WMS
AST-0005607,2025-09-19,Operaciones,inventory,Hub Oeste,3621.78,40,2836.64,on_time,12,WMS
AST-0005608,2025-09-09,Operaciones,cycle_time,Centro Norte,910.78,14,1160.44,approved,13,WMS
AST-0005609,2025-09-15,Operaciones,inventory,Hub Litoral,1642.96,54,2836.64,on_time,11,WMS
AST-0005610,2025-09-07,Operaciones,inventory,Hub Litoral,3056.36,55,2836.64,approved,12,WMS
AST-0005611,2025-09-02,Operaciones,inventory,Centro Norte,1255.99,58,2836.64,approved,14,WMS
AST-0005612,2025-09-16,Operaciones,compliance,Hub Oeste,1385.8,1,902.57,on_time,10,WMS
AST-0005613,2025-09-14,Operaciones,compliance,Centro Norte,2272.1,1,902.57,late,11,WMS
AST-0005614,2025-09-11,Operaciones,inventory,Hub Oeste,3951.07,46,2836.64,on_time,9,WMS
AST-0005615,2025-09-11,Operaciones,compliance,Hub Oeste,474.71,1,902.57,approved,10,WMS
AST-0005616,2025-09-27,Operaciones,inventory,Hub Litoral,5269.37,46,2836.64,on_time,11,WMS
AST-0005617,2025-09-09,Operaciones,cycle_time,Hub Litoral,1486.91,8,1160.44,approved,11,WMS
AST-0005618,2025-09-21,Operaciones,cycle_time,Hub Oeste,571.73,1,1160.44,on_time,12,WMS
AST-0005619,2025-09-08,Operaciones,compliance,Centro Sur,2002.92,9,902.57,late,13,WMS
AST-0005620,2025-09-09,Operaciones,compliance,Hub Litoral,1722.44,15,902.57,approved,19,WMS
AST-0005621,2025-09-21,Operaciones,inventory,Hub Litoral,2881.49,44,2836.64,on_time,10,WMS
AST-0005622,2025-09-06,Operaciones,inventory,Centro Sur,5186.76,51,2836.64,late,8,WMS
AST-0005623,2025-09-19,Operaciones,compliance,Hub Litoral,1200.89,13,902.57,approved,12,WMS
AST-0005624,2025-09-12,Operaciones,inventory,Centro Norte,2811.34,51,2836.64,on_time,6,WMS
AST-0005625,2025-09-16,Operaciones,cycle_time,Hub Litoral,1230.22,1,1160.44,on_time,16,WMS
AST-0005626,2025-09-14,Operaciones,inventory,Centro Norte,1451.82,34,2836.64,on_time,10,WMS
AST-0005627,2025-09-24,Operaciones,cycle_time,Centro Norte,1327.58,4,1160.44,on_time,11,WMS
AST-0005628,2025-09-28,Operaciones,compliance,Centro Norte,483.58,20,902.57,on_time,12,WMS
AST-0005629,2025-09-23,Operaciones,inventory,Hub Litoral,4867.47,47,2836.64,on_time,13,WMS
AST-0005630,2025-09-12,Operaciones,inventory,Centro Sur,6283.85,41,2836.64,on_time,10,WMS
AST-0005631,2025-09-07,Operaciones,cycle_time,Centro Sur,473.43,1,1160.44,approved,11,WMS
AST-0005632,2025-09-14,Operaciones,cycle_time,Centro Norte,1104.18,16,1160.44,on_time,4,WMS
AST-0005633,2025-09-03,Operaciones,inventory,Hub Oeste,3425.02,40,2836.64,approved,11,WMS
AST-0005634,2025-09-03,Operaciones,cycle_time,Hub Litoral,1856.61,1,1160.44,on_time,13,WMS
AST-0005635,2025-09-28,Operaciones,cycle_time,Hub Oeste,1470.88,23,1160.44,approved,15,WMS
AST-0005636,2025-09-09,Operaciones,compliance,Centro Norte,552.16,13,902.57,late,13,WMS
AST-0005637,2025-09-14,Operaciones,inventory,Hub Oeste,3631.69,43,2836.64,late,19,WMS
AST-0005638,2025-09-11,Operaciones,inventory,Hub Litoral,2095.37,44,2836.64,late,15,WMS
AST-0005639,2025-09-20,Operaciones,compliance,Centro Sur,689.67,5,902.57,on_time,17,WMS
AST-0005640,2025-09-02,Operaciones,compliance,Hub Litoral,1070.98,1,902.57,pending,11,WMS
AST-0005641,2025-09-15,Operaciones,inventory,Hub Litoral,1399.71,41,2836.64,approved,9,WMS
AST-0005642,2025-09-03,Operaciones,cycle_time,Hub Oeste,1144.06,5,1160.44,on_time,9,WMS
AST-0005643,2025-09-06,Operaciones,compliance,Centro Norte,3857.26,15,902.57,on_time,11,WMS
AST-0005644,2025-09-08,Operaciones,inventory,Centro Norte,2508.59,43,2836.64,on_time,10,WMS
AST-0005645,2025-09-06,Operaciones,inventory,Hub Oeste,2581.19,48,2836.64,on_time,11,WMS
AST-0005646,2025-09-25,Operaciones,inventory,Centro Norte,1566.2,47,2836.64,late,9,WMS
AST-0005647,2025-09-14,Operaciones,compliance,Centro Norte,1215.28,3,902.57,on_time,12,WMS
AST-0005648,2025-09-20,Operaciones,cycle_time,Hub Oeste,1229.96,1,1160.44,on_time,12,WMS
AST-0005649,2025-09-13,Operaciones,compliance,Hub Litoral,634.52,6,902.57,approved,14,WMS
AST-0005650,2025-09-07,Operaciones,inventory,Hub Litoral,2096.82,52,2836.64,pending,8,WMS
AST-0005651,2025-09-01,Operaciones,compliance,Centro Sur,772.5,2,902.57,on_time,11,WMS
AST-0005652,2025-09-24,Operaciones,compliance,Centro Sur,965.94,1,902.57,pending,14,WMS
AST-0005653,2025-09-07,Operaciones,compliance,Centro Sur,1014.69,15,902.57,approved,9,WMS
AST-0005654,2025-09-22,Operaciones,cycle_time,Centro Sur,681.69,2,1160.44,approved,11,WMS
AST-0005655,2025-09-24,Operaciones,cycle_time,Centro Norte,1287.38,1,1160.44,on_time,13,WMS
AST-0005656,2025-09-16,Operaciones,inventory,Hub Oeste,7747.86,35,2836.64,approved,12,WMS
AST-0005657,2025-09-10,Operaciones,cycle_time,Hub Oeste,1095.03,14,1160.44,approved,13,WMS
AST-0005658,2025-09-22,Operaciones,inventory,Centro Sur,1258.03,41,2836.64,on_time,15,WMS
AST-0005659,2025-09-02,Operaciones,compliance,Hub Litoral,819.26,17,902.57,approved,5,WMS
AST-0005660,2025-09-26,Operaciones,inventory,Hub Litoral,3540.38,48,2836.64,on_time,12,WMS
AST-0005661,2025-09-20,Operaciones,cycle_time,Centro Norte,1271.75,19,1160.44,on_time,8,WMS
