record_id;date;area;metric_type;supplier_name;net_value;units;target;status;lead_time;source_system
AST-0006366;2025-11-12;Operaciones;inventory;Centro Norte;3182.85;42;2894.93;approved;12;WMS
AST-0006367;2025-11-20;Operaciones;inventory;Hub Litoral;2946.97;63;2894.93;pending;9;WMS
AST-0006368;2025-11-08;Operaciones;compliance;Centro Norte;845.27;9;921.11;on_time;11;WMS
AST-0006369;2025-11-03;Operaciones;inventory;Hub Oeste;1684.7;46;2894.93;approved;14;WMS
AST-0006370;2025-11-10;Operaciones;inventory;Hub Oeste;2897.73;47;2894.93;on_time;17;WMS
AST-0006371;2025-11-15;Operaciones;cycle_time;Hub Oeste;1218.68;14;1184.29;on_time;6;WMS
AST-0006372;2025-11-06;Operaciones;inventory;Hub Litoral;2964.52;49;2894.93;approved;17;WMS
AST-0006373;2025-11-27;Operaciones;cycle_time;Centro Norte;1004.18;4;1184.29;approved;11;WMS
AST-0006374;2025-11-01;Operaciones;inventory;Centro Norte;2089.17;46;2894.93;on_time;13;WMS
AST-0006375;2025-11-02;Operaciones;cycle_time;Centro Norte;740.43;15;1184.29;on_time;6;WMS
AST-0006376;2025-11-23;Operaciones;cycle_time;Centro Sur;1450.01;1;1184.29;approved;11;WMS
AST-0006377;2025-11-18;Operaciones;inventory;Centro Sur;5268.17;52;2894.93;on_time;4;WMS
AST-0006378;2025-11-18;Operaciones;inventory;Centro Sur;1529.96;50;2894.93;on_time;11;WMS
AST-0006379;2025-11-28;Operaciones;compliance;Hub Oeste;1073.44;11;921.11;on_time;13;WMS
AST-0006380;2025-11-15;Operaciones;inventory;Centro Norte;2893.48;41;2894.93;approved;16;WMS
AST-0006381;2025-11-05;Operaciones;inventory;Centro Norte;1822.39;42;2894.93;on_time;12;WMS
AST-0006382;2025-11-15;Operaciones;cycle_time;Hub Litoral;1569.78;17;1184.29;on_time;16;WMS
AST-0006383;2025-11-01;Operaciones;cycle_time;;1109.81;1;1184.29;on_time;13;WMS
AST-0006384;2025-11-06;Operaciones;inventory;Hub Litoral;3662.74;43;2894.93;approved;7;WMS
AST-0006385;2025-11-03;Operaciones;cycle_time;Hub Oeste;669.6;1;1184.29;on_time;15;WMS
AST-0006386;2025-11-20;Operaciones;inventory;Centro Norte;2516.85;42;2894.93;on_time;6;WMS
AST-0006387;2025-11-23;Operaciones;inventory;Centro Norte;3844.66;41;2894.93;on_time;16;WMS
AST-0006388;2025-11-03;Operaciones;compliance;Hub Litoral;969.64;12;921.11;on_time;11;WMS
AST-0006389;2025-11-25;Operaciones;cycle_time;Centro Sur;1176.01;18;1184.29;approved;14;WMS
AST-0006390;2025-11-26;Operaciones;cycle_time;Centro Norte;1180.03;20;1184.29;late;12;WMS
AST-0006391;2025-11-27;Operaciones;inventory;Centro Sur;1066.95;51;2894.93;pending;7;WMS
AST-0006392;2025-11-13;Operaciones;inventory;Centro Sur;5173.06;40;2894.93;approved;14;WMS
AST-0006393;2025-11-05;Operaciones;cycle_time;Centro Sur;914.48;14;1184.29;on_time;10;WMS
AST-0006394;2025-11-21;Operaciones;inventory;Centro Sur;1543.76;37;2894.93;approved;10;WMS
AST-0006395;2025-11-05;Operaciones;compliance;Centro Norte;453.76;14;921.11;on_time;4;WMS
AST-0006396;2025-11-25;Operaciones;inventory;Centro Norte;4306.11;44;2894.93;approved;7;WMS
AST-0006397;2025-11-27;Operaciones;inventory;Centro Norte;4108.06;48;2894.93;approved;15;WMS
AST-0006398;2025-11-05;Operaciones;cycle_time;Centro Norte;906.34;1;1184.29;on_time;11;WMS
AST-0006399;2025-11-11;Operaciones;inventory;Hub Oeste;10274.56;44;2894.93;on_time;10;WMS
AST-0006400;2025-11-23;Operaciones;inventory;Centro Sur;1010.2;40;2894.93;on_time;13;WMS
AST-0006401;2025-11-22;Operaciones;inventory;Hub Oeste;2864.79;46;2894.93;late;14;WMS
AST-0006402;2025-11-11;Operaciones;cycle_time;Centro Sur;564.9;1;1184.29;on_time;14;WMS
AST-0006403;2025-11-11;Operaciones;inventory;Centro Sur;2471.47;52;2894.93;on_time;8;WMS
AST-0006404;2025-11-28;Operaciones;compliance;Hub Litoral;492.54;22;921.11;late;12;WMS
AST-0006405;2025-11-19;Operaciones;inventory;Centro Sur;2137.9;46;2894.93;on_time;12;WMS
AST-0006406;2025-11-07;Operaciones;inventory;Centro Sur;4151.46;38;2894.93;late;14;WMS
AST-0006407;2025-11-13;Operaciones;cycle_time;Centro Sur;862.33;1;1184.29;on_time;11;WMS
AST-0006408;2025-11-07;Operaciones;inventory;Hub Oeste;5398.73;46;2894.93;approved;14;WMS
AST-0006409;2025-11-13;Operaciones;cycle_time;Hub Oeste;651.75;1;1184.29;late;8;WMS
AST-0006410;2025-11-01;Operaciones;compliance;Hub Litoral;1366.92;1;921.11;approved;6;WMS
AST-0006411;2025-11-18;Operaciones;compliance;Centro Sur;746.69;8;921.11;approved;12;WMS
AST-0006412;2025-11-18;Operaciones;inventory;Hub Litoral;3055.98;47;2894.93;approved;12;WMS
AST-0006413;2025-11-26;Operaciones;cycle_time;Hub Oeste;1699.53;1;1184.29;late;6;WMS
AST-0006414;2025-11-26;Operaciones;compliance;Centro Sur;846.67;15;921.11;approved;8;WMS
AST-0006415;2025-11-05;Operaciones;inventory;Centro Norte;2573.23;38;2894.93;on_time;9;WMS
AST-0006416;2025-11-24;Operaciones;compliance;Hub Oeste;1156.2;4;921.11;on_time;7;WMS
AST-0006417;2025-11-18;Operaciones;compliance;Centro Sur;806.46;11;921.11;approved;9;WMS
AST-0006418;2025-11-14;Operaciones;compliance;Centro Sur;1266.05;13;921.11;on_time;6;WMS
AST-0006419;2025-11-28;Operaciones;cycle_time;Centro Norte;1759.62;8;1184.29;late;9;WMS
