record_id,posting_date,area,kpi_type,vendor,value,quantity,budget,status,cycle_days,origin
AST-0006651,2025-12-21,Ventas,margin_input,Cuenta Andina,7293.75,15,9188.93,on_time,4,CRM
AST-0006652,2025-12-23,Ventas,sales,Mercado Sur,19725.11,1,16335.87,on_time,7,CRM
AST-0006653,2025-12-23,Ventas,order,Mercado Sur,4286.25,17,3956.34,approved,4,CRM
AST-0006654,2025-12-03,Ventas,order,Grupo Terra,2831.72,11,3956.34,on_time,3,CRM
AST-0006655,2025-12-16,Ventas,sales,Cuenta Andina,33799.17,17,16335.87,on_time,1,CRM
AST-0006656,2025-12-08,Ventas,margin_input,Cliente Boreal,5757.18,5,9188.93,late,8,CRM
AST-0006657,2025-12-15,Ventas,order,Cliente Boreal,3548.17,22,3956.34,pending,7,CRM
AST-0006658,2025-12-09,Ventas,margin_input,Cliente Boreal,9406.23,11,9188.93,late,8,CRM
AST-0006659,2025-12-11,Ventas,margin_input,Cliente Boreal,10370.89,8,9188.93,on_time,4,CRM
AST-0006660,2025-12-03,Ventas,margin_input,Casa Nativa,8276.61,7,9188.93,approved,15,CRM
AST-0006661,2025-12-12,Ventas,order,Cuenta Andina,2843.22,7,3956.34,on_time,8,CRM
AST-0006662,2025-12-16,Ventas,order,Casa Nativa,7023.67,17,3956.34,on_time,5,CRM
AST-0006663,2025-12-08,Ventas,sales,Cuenta Andina,11743.49,14,16335.87,on_time,8,CRM
AST-0006664,2025-12-17,Ventas,sales,Casa Nativa,17946.41,17,16335.87,on_time,9,CRM
AST-0006665,2025-12-04,Ventas,margin_input,Casa Nativa,9605.71,6,9188.93,on_time,7,CRM
AST-0006666,2025-12-12,Ventas,margin_input,Grupo Terra,19027.54,6,9188.93,late,5,CRM
AST-0006667,2025-12-28,Ventas,sales,Cuenta Andina,11142.37,3,16335.87,on_time,6,CRM
AST-0006668,2025-12-05,Ventas,sales,Grupo Terra,15519.11,18,16335.87,approved,10,CRM
AST-0006669,2025-12-11,Ventas,sales,Cuenta Andina,12809.87,9,16335.87,on_time,7,CRM
AST-0006670,2025-12-18,Ventas,sales,Mercado Sur,22914.5,1,16335.87,on_time,4,CRM
AST-0006671,2025-12-03,Ventas,sales,Casa Nativa,26284.35,15,16335.87,approved,9,CRM
AST-0006672,2025-12-27,Ventas,margin_input,Grupo Terra,22725.29,26,9188.93,on_time,8,CRM
AST-0006673,2025-12-05,Ventas,sales,Casa Nativa,19054.77,27,16335.87,approved,1,CRM
AST-0006674,2025-12-05,Ventas,sales,Cliente Boreal,20974.85,16,16335.87,approved,5,CRM
AST-0006675,2025-12-26,Ventas,order,Grupo Terra,1894.08,1,3956.34,on_time,1,CRM
AST-0006676,2025-12-12,Ventas,order,Mercado Sur,5025.39,13,3956.34,on_time,7,CRM
AST-0006677,2025-12-03,Ventas,sales,Cliente Boreal,8731.04,7,16335.87,approved,9,CRM
AST-0006678,2025-12-25,Ventas,order,Mercado Sur,2887.2,8,3956.34,on_time,13,CRM
AST-0006679,2025-12-28,Ventas,sales,Cliente Boreal,15850.16,9,16335.87,approved,4,CRM
AST-0006680,2025-12-13,Ventas,order,Mercado Sur,5123.98,29,3956.34,on_time,6,CRM
AST-0006681,2025-12-17,Ventas,order,Cliente Boreal,4248.67,22,3956.34,on_time,7,CRM
AST-0006682,2025-12-21,Ventas,margin_input,Mercado Sur,11758.23,2,9188.93,approved,6,CRM
AST-0006683,2025-12-15,Ventas,margin_input,Casa Nativa,6730.64,12,9188.93,on_time,11,CRM
AST-0006684,2025-12-19,Ventas,sales,Cliente Boreal,16018.14,10,16335.87,late,7,CRM
AST-0006685,2025-12-15,Ventas,sales,Mercado Sur,30618.98,21,16335.87,on_time,8,CRM
AST-0006686,2025-12-21,Ventas,margin_input,Cuenta Andina,6425.09,1,9188.93,on_time,8,CRM
AST-0006687,2025-12-08,Ventas,order,Mercado Sur,3062.78,6,3956.34,approved,11,CRM
AST-0006688,2025-12-12,Ventas,sales,Mercado Sur,22907.64,10,16335.87,approved,7,CRM
AST-0006689,2025-12-04,Ventas,order,Cliente Boreal,4278.83,8,3956.34,on_time,8,CRM
AST-0006690,2025-12-09,Ventas,sales,Grupo Terra,28133.44,1,16335.87,late,10,CRM
AST-0006691,2025-12-26,Ventas,order,Cliente Boreal,1675.24,3,3956.34,on_time,6,CRM
AST-0006692,2025-12-19,Ventas,order,Cliente Boreal,4767.26,2,3956.34,on_time,3,CRM
AST-0006693,2025-12-16,Ventas,sales,Cliente Boreal,18206.02,1,16335.87,on_time,6,CRM
AST-0006694,2025-12-22,Ventas,margin_input,Mercado Sur,11050.88,2,9188.93,approved,8,CRM
AST-0006695,2025-12-18,Ventas,order,Casa Nativa,5657.72,18,3956.34,on_time,4,CRM
AST-0006696,2025-12-14,Ventas,sales,Cuenta Andina,36155.73,13,16335.87,on_time,12,CRM
AST-0006697,2025-12-19,Ventas,margin_input,Cliente Boreal,7102.73,3,9188.93,approved,9,CRM
AST-0006698,2025-12-12,Ventas,sales,Cliente Boreal,13485.21,23,16335.87,on_time,2,CRM
AST-0006699,2025-12-15,Ventas,order,Grupo Terra,3726.57,2,3956.34,on_time,8,CRM
AST-0006700,2025-12-10,Ventas,order,Cliente Boreal,3835.13,12,3956.34,on_time,6,CRM
AST-0006701,2025-12-10,Ventas,sales,Cliente Boreal,7074.31,13,16335.87,on_time,10,CRM
AST-0006702,2025-12-02,Ventas,margin_input,Mercado Sur,16683.43,8,9188.93,on_time,5,CRM
