record_id,fecha,area,metric_type,proveedor,importe,cantidad,presupuesto,estado,cycle_days,sistema
AST-0007031,2026-01-02,Ventas,sales,Casa Nativa,15884.81,14,15564.8,approved,6,CRM
AST-0007032,2026-01-14,Ventas,sales,Grupo Terra,15880.2,1,15564.8,on_time,8,CRM
AST-0007033,2026-01-24,Ventas,order,Cliente Boreal,5227.37,11,3769.6,approved,6,CRM
AST-0007034,2026-01-21,Ventas,order,Mercado Sur,3369.23,11,3769.6,on_time,6,CRM
AST-0007035,2026-01-24,Ventas,margin_input,Mercado Sur,6745.49,17,8755.2,approved,9,CRM
AST-0007036,2026-01-23,Ventas,sales,Mercado Sur,29369.85,4,15564.8,on_time,9,CRM
AST-0007037,2026-01-10,Ventas,margin_input,Cuenta Andina,11378.86,16,8755.2,approved,4,CRM
AST-0007038,2026-01-10,Ventas,sales,Grupo Terra,21202.73,16,15564.8,late,8,CRM
AST-0007039,2026-01-08,Ventas,sales,Casa Nativa,14207.32,18,15564.8,approved,10,CRM
AST-0007040,2026-01-09,Ventas,sales,Grupo Terra,27558.2,11,15564.8,pending,8,CRM
AST-0007041,2026-01-12,Ventas,sales,Mercado Sur,16559.54,6,15564.8,pending,6,CRM
AST-0007042,2026-01-16,Ventas,margin_input,Cliente Boreal,9182.99,16,8755.2,pending,9,CRM
AST-0007043,2026-01-05,Ventas,sales,Casa Nativa,11995.64,1,15564.8,approved,7,CRM
AST-0007044,2026-01-20,Ventas,order,Casa Nativa,4818.19,15,3769.6,pending,5,CRM
AST-0007045,2026-01-25,Ventas,order,Casa Nativa,5388.25,1,3769.6,on_time,8,CRM
AST-0007046,2026-01-21,Ventas,order,Grupo Terra,3846.8,11,3769.6,on_time,6,CRM
AST-0007047,2026-01-02,Ventas,sales,Cuenta Andina,13818.01,15,15564.8,on_time,4,CRM
AST-0007048,2026-01-04,Ventas,order,Casa Nativa,4419.04,8,3769.6,late,8,CRM
AST-0007049,2026-01-11,Ventas,margin_input,Cuenta Andina,5942.16,3,8755.2,on_time,7,CRM
AST-0007050,2026-01-20,Ventas,sales,Mercado Sur,22992.13,1,15564.8,on_time,5,CRM
AST-0007051,2026-01-18,Ventas,margin_input,Grupo Terra,9933.58,12,8755.2,pending,12,CRM
AST-0007052,2026-01-23,Ventas,sales,Mercado Sur,6097.68,7,15564.8,approved,5,CRM
AST-0007053,2026-01-07,Ventas,sales,Grupo Terra,17852.1,12,15564.8,approved,2,CRM
AST-0007054,2026-01-04,Ventas,margin_input,Grupo Terra,14568.19,9,8755.2,late,4,CRM
AST-0007055,2026-01-09,Ventas,sales,Cliente Boreal,10146.61,10,15564.8,late,9,CRM
AST-0007056,2026-01-14,Ventas,order,Cuenta Andina,1276.94,7,3769.6,on_time,3,CRM
AST-0007057,2026-01-23,Ventas,sales,Mercado Sur,10558.94,8,15564.8,on_time,4,CRM
AST-0007058,2026-01-26,Ventas,order,Cuenta Andina,1401.04,10,3769.6,approved,7,CRM
AST-0007059,2026-01-04,Ventas,sales,Casa Nativa,23708.71,7,15564.8,approved,3,CRM
AST-0007060,2026-01-06,Ventas,margin_input,Grupo Terra,10597.19,1,8755.2,approved,9,CRM
AST-0007061,2026-01-01,Ventas,sales,Grupo Terra,14365.19,4,15564.8,late,10,CRM
AST-0007062,2026-01-20,Ventas,sales,Casa Nativa,13296.66,15,15564.8,approved,3,CRM
AST-0007063,2026-01-05,Ventas,sales,Cuenta Andina,25576.33,1,15564.8,approved,7,CRM
AST-0007064,2026-01-19,Ventas,order,Cuenta Andina,1294.43,21,3769.6,on_time,7,CRM
AST-0007065,2026-01-24,Ventas,order,Cuenta Andina,3156.39,1,3769.6,approved,9,CRM
AST-0007066,2026-01-16,Ventas,order,Mercado Sur,6145.49,1,3769.6,pending,12,CRM
