record_id,date,area,metric_type,supplier_name,net_value,units,target,status,lead_time,source_system
AST-0007221,2026-02-26,Finanzas,expense,Aseguradora Nova,3861.55,19,7156.78,late,9,ERP_FIN
AST-0007222,2026-02-27,Finanzas,expense,Impuestos,15711.26,17,7156.78,late,8,ERP_FIN
AST-0007223,2026-02-24,Finanzas,payment,Banco Delta,2444.93,8,6233.33,on_time,5,ERP_FIN
AST-0007224,2026-02-28,Finanzas,expense,Impuestos,8149.78,11,7156.78,approved,10,ERP_FIN
AST-0007225,2026-02-02,Finanzas,expense,Servicios Centrales,19482.25,7,7156.78,approved,7,ERP_FIN
AST-0007226,2026-02-03,Finanzas,expense,Banco Delta,7244.84,1,7156.78,late,11,ERP_FIN
AST-0007227,2026-02-19,Finanzas,expense,Aseguradora Nova,10796.26,18,7156.78,approved,5,ERP_FIN
AST-0007228,2026-02-25,Finanzas,invoice,Banco Delta,10287.85,20,5079.01,approved,7,ERP_FIN
AST-0007229,2026-02-08,Finanzas,expense,Servicios Centrales,7140.45,8,7156.78,on_time,5,ERP_FIN
AST-0007230,2026-02-24,Finanzas,expense,Aseguradora Nova,3482.87,19,7156.78,on_time,4,ERP_FIN
AST-0007231,2026-02-06,Finanzas,expense,Banco Delta,9196.07,7,7156.78,on_time,4,ERP_FIN
AST-0007232,2026-02-12,Finanzas,invoice,Impuestos,7127.95,1,5079.01,approved,7,ERP_FIN
AST-0007233,2026-02-08,Finanzas,expense,Aseguradora Nova,4194.02,1,7156.78,on_time,4,ERP_FIN
AST-0007234,2026-02-17,Finanzas,expense,Aseguradora Nova,7638.05,6,7156.78,approved,5,ERP_FIN
AST-0007235,2026-02-07,Finanzas,payment,Banco Delta,2308.42,1,6233.33,on_time,8,ERP_FIN
AST-0007236,2026-02-18,Finanzas,expense,Servicios Centrales,4325.25,32,7156.78,late,6,ERP_FIN
AST-0007237,2026-02-08,Finanzas,invoice,Aseguradora Nova,5600.09,9,5079.01,on_time,7,ERP_FIN
AST-0007238,2026-02-15,Finanzas,expense,Servicios Centrales,7025.01,12,7156.78,pending,9,ERP_FIN
AST-0007239,2026-02-28,Finanzas,expense,Impuestos,7917.96,17,7156.78,late,13,ERP_FIN
AST-0007240,2026-02-16,Finanzas,expense,Impuestos,9966.73,8,7156.78,approved,6,ERP_FIN
AST-0007241,2026-02-12,Finanzas,invoice,Impuestos,5203.19,6,5079.01,on_time,7,ERP_FIN
AST-0007242,2026-02-24,Finanzas,expense,Servicios Centrales,6338.91,10,7156.78,approved,5,ERP_FIN
AST-0007243,2026-02-07,Finanzas,expense,Servicios Centrales,23123.02,11,7156.78,on_time,3,ERP_FIN
AST-0007244,2026-02-01,Finanzas,payment,Banco Delta,15364.17,7,6233.33,approved,6,ERP_FIN
AST-0007245,2026-02-27,Finanzas,invoice,Banco Delta,6827.09,4,5079.01,late,8,ERP_FIN
AST-0007246,2026-02-20,Finanzas,payment,Aseguradora Nova,4698.22,6,6233.33,approved,2,ERP_FIN
AST-0007247,2026-02-24,Finanzas,payment,,9540.73,16,6233.33,on_time,7,ERP_FIN
AST-0007248,2026-02-14,Finanzas,payment,Aseguradora Nova,9850.22,4,6233.33,pending,5,ERP_FIN
AST-0007249,2026-02-07,Finanzas,invoice,Impuestos,3967.2,4,5079.01,approved,2,ERP_FIN
AST-0007250,2026-02-12,Finanzas,expense,Aseguradora Nova,4159.2,1,7156.78,on_time,11,ERP_FIN
AST-0007251,2026-02-06,Finanzas,expense,Impuestos,8760.89,11,7156.78,on_time,9,ERP_FIN
AST-0007252,2026-02-24,Finanzas,expense,Aseguradora Nova,5015.6,1,7156.78,on_time,6,ERP_FIN
AST-0007253,2026-02-16,Finanzas,expense,Banco Delta,8176.54,3,7156.78,on_time,6,ERP_FIN
AST-0007254,2026-02-20,Finanzas,invoice,Banco Delta,5643.05,14,5079.01,on_time,7,ERP_FIN
AST-0007255,2026-02-17,Finanzas,invoice,Aseguradora Nova,4832.6,1,5079.01,on_time,6,ERP_FIN
AST-0007256,2026-02-17,Finanzas,invoice,Aseguradora Nova,7234.74,9,5079.01,on_time,9,ERP_FIN
AST-0007257,2026-02-24,Finanzas,expense,Aseguradora Nova,9589.62,19,7156.78,approved,7,ERP_FIN
AST-0007258,2026-02-13,Finanzas,invoice,Impuestos,5539.77,5,5079.01,pending,4,ERP_FIN
AST-0007259,2026-02-18,Finanzas,expense,Banco Delta,10373.33,1,7156.78,on_time,4,ERP_FIN
