record_id;posting_date;area;kpi_type;vendor;value;quantity;budget;status;cycle_days;origin
AST-0007886;2026-03-28;Operaciones;cycle_time;Centro Norte;1230.29;13;1000.02;on_time;11;WMS
AST-0007887;2026-03-02;Operaciones;inventory;Centro Norte;1861.84;51;2444.5;approved;14;WMS
AST-0007888;2026-03-09;Operaciones;inventory;Centro Norte;2900.95;46;2444.5;approved;14;WMS
AST-0007889;2026-03-13;Operaciones;cycle_time;Centro Sur;462.89;14;1000.02;late;15;WMS
AST-0007890;2026-03-01;Operaciones;inventory;Hub Litoral;1930.04;45;2444.5;approved;16;WMS
AST-0007891;2026-03-02;Operaciones;cycle_time;Centro Sur;1200.62;1;1000.02;late;9;WMS
AST-0007892;2026-03-26;Operaciones;inventory;Hub Oeste;2112.98;31;2444.5;late;15;WMS
AST-0007893;2026-03-11;Operaciones;cycle_time;Centro Sur;1199.73;4;1000.02;on_time;17;WMS
AST-0007894;2026-03-18;Operaciones;inventory;Hub Litoral;2811.64;52;2444.5;late;11;WMS
AST-0007895;2026-03-15;Operaciones;inventory;Centro Norte;2709.83;46;2444.5;approved;11;WMS
AST-0007896;2026-03-25;Operaciones;inventory;Centro Sur;2412.67;52;2444.5;late;15;WMS
AST-0007897;2026-03-15;Operaciones;cycle_time;Hub Litoral;2197.83;2;1000.02;on_time;14;WMS
AST-0007898;2026-03-06;Operaciones;inventory;Hub Litoral;2906.32;43;2444.5;late;14;WMS
AST-0007899;2026-03-04;Operaciones;compliance;;596.78;3;777.79;late;12;WMS
AST-0007900;2026-03-18;Operaciones;compliance;Hub Oeste;748.71;5;777.79;late;8;WMS
AST-0007901;2026-03-10;Operaciones;inventory;Centro Norte;3050.51;49;2444.5;on_time;12;WMS
AST-0007902;2026-03-08;Operaciones;compliance;Hub Litoral;897.6;19;777.79;pending;10;WMS
AST-0007903;2026-03-20;Operaciones;inventory;Centro Norte;4006.06;49;2444.5;on_time;12;WMS
AST-0007904;2026-03-07;Operaciones;inventory;Centro Sur;1991.54;40;2444.5;on_time;8;WMS
AST-0007905;2026-03-03;Operaciones;inventory;Centro Sur;1894.21;56;2444.5;approved;15;WMS
AST-0007906;2026-03-26;Operaciones;cycle_time;Hub Oeste;402.01;8;1000.02;approved;12;WMS
AST-0007907;2026-03-20;Operaciones;inventory;Centro Sur;1400.01;56;2444.5;on_time;14;WMS
AST-0007908;2026-03-28;Operaciones;inventory;Hub Oeste;2838.06;52;2444.5;on_time;17;WMS
AST-0007909;2026-03-15;Operaciones;inventory;Hub Litoral;2079.65;45;2444.5;on_time;5;WMS
AST-0007910;2026-03-02;Operaciones;cycle_time;Centro Norte;929.99;8;1000.02;on_time;13;WMS
AST-0007911;2026-03-19;Operaciones;cycle_time;Centro Norte;1144.96;10;1000.02;approved;10;WMS
AST-0007912;2026-03-22;Operaciones;compliance;Centro Norte;844.43;2;777.79;approved;11;WMS
AST-0007913;2026-03-26;Operaciones;inventory;Centro Sur;1810.23;46;2444.5;late;11;WMS
AST-0007914;2026-03-15;Operaciones;inventory;Centro Norte;1930.58;54;2444.5;on_time;14;WMS
AST-0007915;2026-03-28;Operaciones;inventory;Centro Norte;1579.12;41;2444.5;approved;9;WMS
AST-0007916;2026-03-01;Operaciones;inventory;Centro Sur;1662.13;44;2444.5;late;9;WMS
AST-0007917;2026-03-06;Operaciones;compliance;Hub Oeste;746.46;8;777.79;late;13;WMS
AST-0007918;2026-03-28;Operaciones;inventory;Hub Oeste;4046.41;55;2444.5;on_time;6;WMS
AST-0007919;2026-03-19;Operaciones;inventory;Hub Oeste;1714.05;52;2444.5;on_time;7;WMS
AST-0007920;2026-03-06;Operaciones;inventory;Centro Sur;3202.62;42;2444.5;on_time;15;WMS
AST-0007921;2026-03-12;Operaciones;compliance;Centro Sur;910.6;9;777.79;on_time;6;WMS
AST-0007922;2026-03-16;Operaciones;compliance;Hub Litoral;389.14;4;777.79;on_time;11;WMS
AST-0007923;2026-03-14;Operaciones;cycle_time;Centro Norte;1388.6;11;1000.02;on_time;14;WMS
AST-0007924;2026-03-02;Operaciones;cycle_time;Centro Sur;648.14;3;1000.02;approved;13;WMS
AST-0007925;2026-03-20;Operaciones;inventory;Hub Litoral;2039.19;45;2444.5;approved;17;WMS
AST-0007926;2026-03-25;Operaciones;cycle_time;Centro Norte;1196.74;3;1000.02;approved;8;WMS
AST-0007927;2026-03-20;Operaciones;cycle_time;Hub Oeste;773.34;1;1000.02;approved;7;WMS
AST-0007928;2026-03-02;Operaciones;compliance;Centro Sur;1038.99;6;777.79;approved;12;WMS
AST-0007929;2026-03-04;Operaciones;inventory;Centro Sur;1294.22;41;2444.5;approved;18;WMS
AST-0007930;2026-03-10;Operaciones;compliance;Hub Oeste;642.11;10;777.79;approved;10;WMS
AST-0007931;2026-03-11;Operaciones;cycle_time;Hub Litoral;835.57;1;1000.02;on_time;12;WMS
AST-0007932;2026-03-17;Operaciones;inventory;Centro Norte;2888.9;42;2444.5;late;11;WMS
AST-0007933;2026-03-26;Operaciones;compliance;Centro Norte;926.57;2;777.79;approved;10;WMS
AST-0007934;2026-03-23;Operaciones;inventory;Centro Sur;2141.71;39;2444.5;on_time;15;WMS
AST-0007935;2026-03-25;Operaciones;inventory;Hub Oeste;2046.99;47;2444.5;on_time;8;WMS
AST-0007936;2026-03-09;Operaciones;cycle_time;Hub Oeste;1356.55;6;1000.02;on_time;13;WMS
AST-0007937;2026-03-02;Operaciones;cycle_time;Hub Oeste;1038.69;6;1000.02;approved;10;WMS
AST-0007938;2026-03-04;Operaciones;cycle_time;Hub Oeste;1654.91;3;1000.02;late;4;WMS
AST-0007939;2026-03-09;Operaciones;cycle_time;Centro Sur;668.2;7;1000.02;on_time;12;WMS
AST-0007940;2026-03-16;Operaciones;inventory;Centro Norte;2479.7;39;2444.5;late;15;WMS
AST-0007941;2026-03-28;Operaciones;cycle_time;Centro Norte;738.84;1;1000.02;on_time;12;WMS
AST-0007942;2026-03-15;Operaciones;compliance;Hub Litoral;701.81;8;777.79;late;13;WMS
AST-0007943;2026-03-03;Operaciones;inventory;Centro Norte;1138.24;51;2444.5;on_time;12;WMS
AST-0007944;2026-03-10;Operaciones;inventory;;1928.65;36;2444.5;on_time;5;WMS
AST-0007945;2026-03-07;Operaciones;inventory;Centro Norte;6104.42;43;2444.5;on_time;7;WMS
AST-0007946;2026-03-28;Operaciones;inventory;Hub Litoral;3128.28;40;2444.5;on_time;8;WMS
AST-0007947;2026-03-26;Operaciones;inventory;Centro Sur;3172.19;51;2444.5;on_time;11;WMS
AST-0007948;2026-03-23;Operaciones;cycle_time;Centro Norte;538.7;20;1000.02;on_time;14;WMS
AST-0007949;2026-03-27;Operaciones;inventory;Hub Litoral;2099.59;54;2444.5;approved;11;WMS
AST-0007950;2026-03-21;Operaciones;inventory;Centro Sur;3575.06;42;2444.5;on_time;13;WMS
AST-0007951;2026-03-01;Operaciones;inventory;Centro Sur;2094.77;45;2444.5;approved;14;WMS
AST-0007952;2026-03-28;Operaciones;inventory;Hub Oeste;3055.74;36;2444.5;approved;10;WMS
AST-0007953;2026-03-22;Operaciones;inventory;Centro Sur;3033.44;41;2444.5;on_time;13;WMS
AST-0007954;2026-03-01;Operaciones;cycle_time;Hub Litoral;1201.63;13;1000.02;approved;13;WMS
AST-0007955;2026-03-15;Operaciones;inventory;Hub Oeste;984.32;43;2444.5;late;7;WMS
AST-0007956;2026-03-11;Operaciones;inventory;Hub Litoral;1970.89;33;2444.5;on_time;14;WMS
AST-0007957;2026-03-10;Operaciones;inventory;Centro Norte;2434.73;64;2444.5;approved;12;WMS
AST-0007958;2026-03-18;Operaciones;inventory;Centro Norte;1087.07;48;2444.5;late;12;WMS
AST-0007959;2026-03-18;Operaciones;compliance;Centro Sur;956.7;10;777.79;approved;3;WMS
AST-0007960;2026-03-06;Operaciones;inventory;Centro Norte;4803.32;45;2444.5;approved;8;WMS
AST-0007961;2026-03-22;Operaciones;inventory;Hub Litoral;2404.17;44;2444.5;approved;11;WMS
AST-0007962;2026-03-21;Operaciones;inventory;Centro Sur;1791.44;54;2444.5;late;4;WMS
AST-0007963;2026-03-28;Operaciones;inventory;Hub Oeste;3756.14;42;2444.5;on_time;12;WMS
AST-0007964;2026-03-22;Operaciones;inventory;Hub Oeste;912.83;39;2444.5;pending;15;WMS
AST-0007965;2026-03-06;Operaciones;inventory;Hub Oeste;1715.25;51;2444.5;on_time;16;WMS
AST-0007966;2026-03-11;Operaciones;compliance;Centro Sur;1030.49;21;777.79;on_time;8;WMS
AST-0007967;2026-03-27;Operaciones;inventory;Centro Norte;3540.54;46;2444.5;approved;16;WMS
AST-0007968;2026-03-17;Operaciones;inventory;Centro Norte;3419.33;45;2444.5;approved;14;WMS
AST-0007969;2026-03-26;Operaciones;cycle_time;Hub Oeste;2070.99;2;1000.02;approved;15;WMS
AST-0007970;2026-03-25;Operaciones;cycle_time;Hub Litoral;990.24;2;1000.02;on_time;12;WMS
AST-0007971;2026-03-22;Operaciones;cycle_time;Hub Oeste;1063.03;8;1000.02;late;17;WMS
AST-0007972;2026-03-01;Operaciones;inventory;Centro Norte;1843.76;42;2444.5;on_time;13;WMS
AST-0007973;2026-03-22;Operaciones;cycle_time;Centro Sur;308.1;5;1000.02;approved;9;WMS
AST-0007974;2026-03-25;Operaciones;inventory;Hub Oeste;4247.33;39;2444.5;pending;17;WMS
AST-0007975;2026-03-12;Operaciones;inventory;Centro Sur;6457.09;45;2444.5;on_time;12;WMS
AST-0007976;2026-03-23;Operaciones;cycle_time;Centro Norte;845.93;1;1000.02;approved;15;WMS
AST-0007977;2026-03-19;Operaciones;cycle_time;Hub Oeste;1907.05;6;1000.02;on_time;11;WMS
AST-0007978;2026-03-02;Operaciones;inventory;Hub Litoral;3810.85;50;2444.5;on_time;13;WMS
AST-0007979;2026-03-01;Operaciones;inventory;Centro Sur;2237.76;47;2444.5;on_time;16;WMS
AST-0007980;2026-03-25;Operaciones;compliance;Hub Oeste;547.96;1;777.79;approved;10;WMS
