record_id;posting_date;area;kpi_type;vendor;value;quantity;budget;status;cycle_days;origin
AST-0007791;2026-03-25;Ventas;margin_input;Grupo Terra;11026.35;9;8000.18;approved;10;CRM
AST-0007792;2026-03-10;Ventas;sales;Casa Nativa;7019.51;7;14222.53;on_time;3;CRM
AST-0007793;2026-03-13;Ventas;margin_input;Cliente Boreal;3834.51;1;8000.18;on_time;4;CRM
AST-0007794;2026-03-19;Ventas;sales;Cliente Boreal;10289.81;10;14222.53;approved;8;CRM
AST-0007795;2026-03-11;Ventas;order;Cliente Boreal;5013.31;8;3444.52;late;4;CRM
AST-0007796;2026-03-10;Ventas;order;Cuenta Andina;4879.96;11;3444.52;on_time;9;CRM
AST-0007797;2026-03-06;Ventas;margin_input;Cliente Boreal;11178.48;11;8000.18;pending;5;CRM
AST-0007798;2026-03-17;Ventas;sales;Casa Nativa;6832.42;8;14222.53;on_time;10;CRM
AST-0007799;2026-03-09;Ventas;sales;Grupo Terra;13487.61;8;14222.53;on_time;16;CRM
AST-0007800;2026-03-20;Ventas;sales;Cuenta Andina;13287.16;7;14222.53;on_time;10;CRM
AST-0007801;2026-03-02;Ventas;order;Cuenta Andina;2398.7;4;3444.52;approved;6;CRM
AST-0007802;2026-03-12;Ventas;margin_input;Casa Nativa;6369.23;5;8000.18;on_time;5;CRM
AST-0007803;2026-03-02;Ventas;sales;Casa Nativa;7097.57;7;14222.53;pending;4;CRM
AST-0007804;2026-03-27;Ventas;margin_input;Cuenta Andina;2505.66;1;8000.18;on_time;6;CRM
AST-0007805;2026-03-07;Ventas;sales;Grupo Terra;12683.98;1;14222.53;late;6;CRM
AST-0007806;2026-03-12;Ventas;order;Grupo Terra;3376.85;1;3444.52;late;9;CRM
AST-0007807;2026-03-18;Ventas;order;Cliente Boreal;4604.57;13;3444.52;on_time;6;CRM
AST-0007808;2026-03-15;Ventas;sales;Cuenta Andina;13635.55;5;14222.53;approved;6;CRM
AST-0007809;2026-03-07;Ventas;order;Casa Nativa;9003.26;1;3444.52;pending;9;CRM
AST-0007810;2026-03-11;Ventas;order;Grupo Terra;2231.4;14;3444.52;on_time;9;CRM
AST-0007811;2026-03-26;Ventas;sales;Mercado Sur;12697.78;4;14222.53;on_time;7;CRM
AST-0007812;2026-03-22;Ventas;margin_input;Casa Nativa;7660.25;2;8000.18;approved;1;CRM
AST-0007813;2026-03-12;Ventas;order;Cuenta Andina;6135.35;10;3444.52;late;1;CRM
